escuela,tipo,clas,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
IIE,cubiculos,cap,,,,,,22,,22,,,20,,,,,,,
IIE,cafeterias,num,,,,,,,,,,,,,,,,,,
IIE,cafeterias,cap,,,,,,,,,,,,,,,,,,
IIE,oficinas administrativas,num,,,,,,5,,2,,,,,,,,,,
IIE,oficinas administrativas,cap,,,,,,14,,3,,,,,,,,,,
Centro de estudios filosoficos,Salones de clase,num,,,,,,,,,,,,,,,,,,
Centro de estudios filosoficos,Salones de clase,cap,,,,,,,,,,,,,,,,,,
Centro de estudios filosoficos,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
Centro de estudios filosoficos,bibliotecas,cap,,,,,,15,,,,,15,,,,,,,
Centro de estudios filosoficos,auditorios,num,,,,,,,,,,,,,,,,,,
Centro de estudios filosoficos,auditorios,cap,,,,,,,,,,,,,,,,,,
Centro de estudios filosoficos,laboratorios,num,,,,,,1,,,,,1,,,,,,,
Centro de estudios filosoficos,laboratorios,cap,,,,,,4,,,,,1,,,,,,,
Centro de estudios filosoficos,talleres de docencia,num,,,,,,,,,,,,,,,,,,
Centro de estudios filosoficos,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
Centro de estudios filosoficos,cubiculos,num,,,,,,8,,7,,,9,,,,,,,
Centro de estudios filosoficos,cubiculos,cap,,,,,,13,,12,,,21,,,,,,,
Centro de estudios filosoficos,cafeterias,num,,,,,,,,,,,,,,,,,,
Centro de estudios filosoficos,cafeterias,cap,,,,,,,,,,,,,,,,,,
Centro de estudios filosoficos,oficinas administrativas,num,,,,,,2,,3,,,,,,,,,,
Centro de estudios filosoficos,oficinas administrativas,cap,,,,,,9,,8,,,,,,,,,,
IIH,Salones de clase,num,,,,,,2,,,,,,,,,,,,
IIH,Salones de clase,cap,,,,,,76,,,,,,,,,,,,
IIH,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
IIH,bibliotecas,cap,,,,,,44,,,,,10,,,,,,,
IIH,auditorios,num,,,,,,,,,,,,,,,,,,
IIH,auditorios,cap,,,,,,,,,,,,,,,,,,
IIH,laboratorios,num,,,,,,1,,1,,,,,,,,,,
IIH,laboratorios,cap,,,,,,12,,3,,,,,,,,,,
IIH,talleres de docencia,num,,,,,,,,,,,,,,,,,,
IIH,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
IIH,cubiculos,num,,,,,,9,,10,,,9,,,,,,,
IIH,cubiculos,cap,,,,,,18,,20,,,18,,,,,,,
IIH,cafeterias,num,,,,,,,,,,,,,,,,,,
IIH,cafeterias,cap,,,,,,,,,,,,,,,,,,
IIH,oficinas administrativas,num,,,,,,8,,2,,,,,,,,,,
IIH,oficinas administrativas,cap,,,,,,36,,3,,,,,,,,,,
IIJ,Salones de clase,num,,,,,,4,,,,,,,,,,,,
IIJ,Salones de clase,cap,,,,,,87,,,,,,,,,,,,
IIJ,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
IIJ,bibliotecas,cap,,,,,,44,,,,,20,,,,,,,
IIJ,auditorios,num,,,,,,,,,,,,,,,,,,
IIJ,auditorios,cap,,,,,,,,,,,,,,,,,,
IIJ,laboratorios,num,,,,,,9,,,,,,,,,,,,
IIJ,laboratorios,cap,,,,,,28,,,,,,,,,,,,
IIJ,talleres de docencia,num,,,,,,1,,,,,,,,,,,,
IIJ,talleres de docencia,cap,,,,,,6,,,,,,,,,,,,
IIJ,cubiculos,num,,,,,,9,,8,,,11,,,,,,,
IIJ,cubiculos,cap,,,,,,15,,15,,,22,,,,,,,
IIJ,cafeterias,num,,,,,,,,,,,,,,,,,,
IIJ,cafeterias,cap,,,,,,,,,,,,,,,,,,
IIJ,oficinas administrativas,num,,,,,,21,,3,,,,,,,,,,
IIJ,oficinas administrativas,cap,,,,,,106,,11,,,,,,,,,,
IIS,Salones de clase,num,,,,,,1,,,,,,,,,,,,
IIS,Salones de clase,cap,,,,,,30,,,,,,,,,,,,
IIS,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
IIS,bibliotecas,cap,,,,,,38,,,,,20,,,,,,,
IIS,auditorios,num,,,,,,,,,,,,,,,,,,
IIS,auditorios,cap,,,,,,,,,,,,,,,,,,
IIS,laboratorios,num,,,,,,14,,,,,2,,,,,,,
IIS,laboratorios,cap,,,,,,39,,,,,2,,,,,,,
IIS,talleres de docencia,num,,,,,,2,,,,,,,,,,,,
IIS,talleres de docencia,cap,,,,,,60,,,,,,,,,,,,
IIS,cubiculos,num,,,,,,8,,8,,,50,,,,,,,
IIS,cubiculos,cap,,,,,,16,,16,,,200,,,,,,,
IIS,cafeterias,num,,,,,,,,,,,,,,,,,,
IIS,cafeterias,cap,,,,,,,,,,,,,,,,,,
IIS,oficinas administrativas,num,,,,,,5,,6,,,,,,,,,,
IIS,oficinas administrativas,cap,,,,,,22,,14,,,,,,,,,,
Centro de Estudios Mayas,Salones de clase,num,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,Salones de clase,cap,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,bibliotecas,num,,,,,,,,,,,1,,,,,,,
Centro de Estudios Mayas,bibliotecas,cap,,,,,,,,,,,20,,,,,,,
Centro de Estudios Mayas,auditorios,num,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,auditorios,cap,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,laboratorios,num,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,laboratorios,cap,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,talleres de docencia,num,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,cubiculos,num,,,,,,,,,,,6,,,,,,,
Centro de Estudios Mayas,cubiculos,cap,,,,,,,,,,,12,,,,,,,
Centro de Estudios Mayas,cafeterias,num,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,cafeterias,cap,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
Centro de Estudios Mayas,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
IIAntropologicas,Salones de clase,num,,,,,,,,,,,,,,,,,,
IIAntropologicas,Salones de clase,cap,,,,,,,,,,,,,,,,,,
IIAntropologicas,bibliotecas,num,,,,,,,,,,,1,,,,,,,
IIAntropologicas,bibliotecas,cap,,,,,,,,,,,,,,,,,,
IIAntropologicas,auditorios,num,,,,,,,,,,,,,,,,,,
IIAntropologicas,auditorios,cap,,,,,,,,,,,,,,,,,,
IIAntropologicas,laboratorios,num,,,,,,,,,,,2,,,,,,,
IIAntropologicas,laboratorios,cap,,,,,,,,,,,6,,,,,,,
IIAntropologicas,talleres de docencia,num,,,,,,,,,,,,,,,,,,
IIAntropologicas,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
IIAntropologicas,cubiculos,num,,,,,,,,,,,6,,,,,,,
IIAntropologicas,cubiculos,cap,,,,,,,,,,,12,,,,,,,
IIAntropologicas,cafeterias,num,,,,,,,,,,,,,,,,,,
IIAntropologicas,cafeterias,cap,,,,,,,,,,,,,,,,,,
IIAntropologicas,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
IIAntropologicas,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
centro de estudios literarios,Salones de clase,num,,,,,,2,,2,,,,,,,,,,
centro de estudios literarios,Salones de clase,cap,,,,,,30,,30,,,,,,,,,,
centro de estudios literarios,bibliotecas,num,,,,,,1,,,,,,,,,,,,
centro de estudios literarios,bibliotecas,cap,,,,,,30,,,,,,,,,,,,
centro de estudios literarios,auditorios,num,,,,,,,,,,,,,,,,,,
centro de estudios literarios,auditorios,cap,,,,,,,,,,,,,,,,,,
centro de estudios literarios,laboratorios,num,,,,,,2,,,,,,,,,,,,
centro de estudios literarios,laboratorios,cap,,,,,,7,,,,,,,,,,,,
centro de estudios literarios,talleres de docencia,num,,,,,,,,,,,,,,,,,,
centro de estudios literarios,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
centro de estudios literarios,cubiculos,num,,,,,,2,,2,,,,,,,,,,
centro de estudios literarios,cubiculos,cap,,,,,,5,,5,,,,,,,,,,
centro de estudios literarios,cafeterias,num,,,,,,,,,,,,,,,,,,
centro de estudios literarios,cafeterias,cap,,,,,,,,,,,,,,,,,,
centro de estudios literarios,oficinas administrativas,num,,,,,,1,,1,,,,,,,,,,
centro de estudios literarios,oficinas administrativas,cap,,,,,,6,,6,,,,,,,,,,
CIMAS,Salones de clase,num,,,,,,12,,12,,,3,,,,,,,
CIMAS,Salones de clase,cap,,,,,,113,,133,,,120,,,,,,,
CIMAS,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
CIMAS,bibliotecas,cap,,,,,,16,,,,,20,,,,,,,
CIMAS,auditorios,num,,,,,,,,,,,,,,,,,,
CIMAS,auditorios,cap,,,,,,,,,,,,,,,,,,
CIMAS,laboratorios,num,,,,,,5,,2,,,,,,,,,,
CIMAS,laboratorios,cap,,,,,,5,,10,,,,,,,,,,
CIMAS,talleres de docencia,num,,,,,,,,,,,1,,,,,,,
CIMAS,talleres de docencia,cap,,,,,,,,,,,10,,,,,,,
CIMAS,cubiculos,num,,,,,,16,,16,,,25,,,,,,,
CIMAS,cubiculos,cap,,,,,,28,,28,,,50,,,,,,,
CIMAS,cafeterias,num,,,,,,,,1,,,,,,,,,,
CIMAS,cafeterias,cap,,,,,,,,70,,,,,,,,,,
CIMAS,oficinas administrativas,num,,,,,,16,,18,,,,,,,,,,
CIMAS,oficinas administrativas,cap,,,,,,25,,30,,,,,,,,,,
Centro de investigacion en Materiales,Salones de clase,num,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,Salones de clase,cap,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,bibliotecas,num,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,bibliotecas,cap,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,auditorios,num,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,auditorios,cap,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,laboratorios,num,,,,,,,,,,,3,,,,,,,
Centro de investigacion en Materiales,laboratorios,cap,,,,,,,,,,,6,,,,,,,
Centro de investigacion en Materiales,talleres de docencia,num,,,,,,,,,,,1,,,,,,,
Centro de investigacion en Materiales,talleres de docencia,cap,,,,,,,,,,,4,,,,,,,
Centro de investigacion en Materiales,cubiculos,num,,,,,,,,,,,9,,,,,,,
Centro de investigacion en Materiales,cubiculos,cap,,,,,,,,,,,18,,,,,,,
Centro de investigacion en Materiales,cafeterias,num,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,cafeterias,cap,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
Centro de investigacion en Materiales,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
CEN,Salones de clase,num,,,,,,,,,,,,,,,,,,
CEN,Salones de clase,cap,,,,,,,,,,,,,,,,,,
CEN,bibliotecas,num,,,,,,,,,,,1,,,,,,,
CEN,bibliotecas,cap,,,,,,,,,,,6,,,,,,,
CEN,auditorios,num,,,,,,,,,,,,,,,,,,
CEN,auditorios,cap,,,,,,,,,,,,,,,,,,
CEN,laboratorios,num,,,,,,,,,,,2,,,,,,,
CEN,laboratorios,cap,,,,,,,,,,,16,,,,,,,
CEN,talleres de docencia,num,,,,,,,,,,,1,,,,,,,
CEN,talleres de docencia,cap,,,,,,,,,,,3,,,,,,,
CEN,cubiculos,num,,,,,,,,,,,,,,,,,,
CEN,cubiculos,cap,,,,,,,,,,,,,,,,,,
CEN,cafeterias,num,,,,,,,,,,,,,,,,,,
CEN,cafeterias,cap,,,,,,,,,,,,,,,,,,
CEN,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
CEN,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
Instituto de Astronomia,Salones de clase,num,,,,,,,,,,,,,,,,,,
Instituto de Astronomia,Salones de clase,cap,,,,,,,,,,,,,,,,,,
Instituto de Astronomia,bibliotecas,num,,,,,,,,,,,1,,,,,,,
Instituto de Astronomia,bibliotecas,cap,,,,,,,,,,,20,,,,,,,
Instituto de Astronomia,auditorios,num,,,,,,,,,,,1,,,,,,,
Instituto de Astronomia,auditorios,cap,,,,,,,,,,,25,,,,,,,
Instituto de Astronomia,laboratorios,num,,,,,,,,3,,,6,,,,,,,
Instituto de Astronomia,laboratorios,cap,,,,,,,,7,,,12,,,,,,,
Instituto de Astronomia,talleres de docencia,num,,,,,,,,1,,,2,,,,,,,
Instituto de Astronomia,talleres de docencia,cap,,,,,,,,2,,,6,,,,,,,
Instituto de Astronomia,cubiculos,num,,,,,,,,12,,,26,,,,,,,
Instituto de Astronomia,cubiculos,cap,,,,,,,,62,,,48,,,,,,,
Instituto de Astronomia,cafeterias,num,,,,,,,,,,,,,,,,,,
Instituto de Astronomia,cafeterias,cap,,,,,,,,1,,,,,,,,,,
Instituto de Astronomia,oficinas administrativas,num,,,,,,,,14,,,,,,,,,,
Instituto de Astronomia,oficinas administrativas,cap,,,,,,,,34,,,,,,,,,,
Instituto de Biologia,Salones de clase,num,,,,,,,,,,,,,,,,,,
Instituto de Biologia,Salones de clase,cap,,,,,,,,,,,,,,,,,,
Instituto de Biologia,bibliotecas,num,,,,,,2,,,,,,,,,,,,
Instituto de Biologia,bibliotecas,cap,,,,,,28,,,,,,,,,,,,
Instituto de Biologia,auditorios,num,,,,,,1,,,,,,,,,,,,
Instituto de Biologia,auditorios,cap,,,,,,67,,,,,,,,,,,,
Instituto de Biologia,laboratorios,num,,,,,,18,,18,,,,,,,,,,
Instituto de Biologia,laboratorios,cap,,,,,,89,,89,,,,,,,,,,
Instituto de Biologia,talleres de docencia,num,,,,,,1,,1,,,,,,,,,,
Instituto de Biologia,talleres de docencia,cap,,,,,,6,,6,,,,,,,,,,
Instituto de Biologia,cubiculos,num,,,,,,23,,23,,,,,,,,,,
Instituto de Biologia,cubiculos,cap,,,,,,39,,39,,,,,,,,,,
Instituto de Biologia,cafeterias,num,,,,,,,,20,,,,,,,,,,
Instituto de Biologia,cafeterias,cap,,,,,,,,1,,,,,,,,,,
Instituto de Biologia,oficinas administrativas,num,,,,,,6,,8,,,,,,,,,,
Instituto de Biologia,oficinas administrativas,cap,,,,,,20,,25,,,,,,,,,,
IF,Salones de clase,num,,,,,,1,,,,,,,,,,,,
IF,Salones de clase,cap,,,,,,35,,,,,,,,,,,,
IF,bibliotecas,num,,,,,,1,,,,,,,,,,,,
IF,bibliotecas,cap,,,,,,9,,,,,,,,,,,,
IF,auditorios,num,,,,,,,,,,,,,,,,,,
IF,auditorios,cap,,,,,,,,,,,,,,,,,,
IF,laboratorios,num,,,,,,3,,9,,,,,,,,,,
IF,laboratorios,cap,,,,,,21,,28,,,,,,,,,,
IF,talleres de docencia,num,,,,,,,,1,,,,,,,,,,
IF,talleres de docencia,cap,,,,,,,,2,,,,,,,,,,
IF,cubiculos,num,,,,,,14,,14,,,,,,,,,,
IF,cubiculos,cap,,,,,,49,,49,,,,,,,,,,
IF,cafeterias,num,,,,,,,,,,,,,,,,,,
IF,cafeterias,cap,,,,,,,,,,,,,,,,,,
IF,oficinas administrativas,num,,,,,,8,,21,,,,,,,,,,
IF,oficinas administrativas,cap,,,,,,39,,106,,,,,,,,,,
Igeofisica,Salones de clase,num,,,,,,5,,,,,1,,,,,,,
Igeofisica,Salones de clase,cap,,,,,,53,,,,,50,,,,,,,
Igeofisica,bibliotecas,num,,,,,,2,,,,,1,,,,,,,
Igeofisica,bibliotecas,cap,,,,,,30,,,,,14,,,,,,,
Igeofisica,auditorios,num,,,,,,,,,,,,,,,,,,
Igeofisica,auditorios,cap,,,,,,,,,,,,,,,,,,
Igeofisica,laboratorios,num,,,,,,28,,10,,,8,,,,,,,
Igeofisica,laboratorios,cap,,,,,,58,,28,,,16,,,,,,,
Igeofisica,talleres de docencia,num,,,,,,3,,5,,,5,,,,,,,
Igeofisica,talleres de docencia,cap,,,,,,12,,12,,,15,,,,,,,
Igeofisica,cubiculos,num,,,,,,25,,25,,,67,,,,,,,
Igeofisica,cubiculos,cap,,,,,,83,,83,,,154,,,,,,,
Igeofisica,cafeterias,num,,,,,,,,,,,,,,,,,,
Igeofisica,cafeterias,cap,,,,,,,,,,,,,,,,,,
Igeofisica,oficinas administrativas,num,,,,,,12,,36,,,,,,,,,,
Igeofisica,oficinas administrativas,cap,,,,,,29,,127,,,,,,,,,,
Igeografia,Salones de clase,num,,,,,,7,,1,,,1,,,,,,,
Igeografia,Salones de clase,cap,,,,,,12,,30,,,36,,,,,,,
Igeografia,bibliotecas,num,,,,,,,,,,,1,,,,,,,
Igeografia,bibliotecas,cap,,,,,,,,,,,20,,,,,,,
Igeografia,auditorios,num,,,,,,,,,,,,,,,,,,
Igeografia,auditorios,cap,,,,,,,,,,,,,,,,,,
Igeografia,laboratorios,num,,,,,,14,,,,,2,,,,,,,
Igeografia,laboratorios,cap,,,,,,47,,,,,5,,,,,,,
Igeografia,talleres de docencia,num,,,,,,13,,,,,,,,,,,,
Igeografia,talleres de docencia,cap,,,,,,32,,,,,,,,,,,,
Igeografia,cubiculos,num,,,,,,11,,11,,,23,,,,,,,
Igeografia,cubiculos,cap,,,,,,22,,21,,,44,,,,,,,
Igeografia,cafeterias,num,,,,,,,,,,,,,,,,,,
Igeografia,cafeterias,cap,,,,,,,,,,,,,,,,,,
Igeografia,oficinas administrativas,num,,,,,,3,,9,,,,,,,,,,
Igeografia,oficinas administrativas,cap,,,,,,6,,47,,,,,,,,,,
Igeologia,Salones de clase,num,,,,,,5,,5,,,1,,,,,,,
Igeologia,Salones de clase,cap,,,,,,53,,23,,,34,,,,,,,
Igeologia,bibliotecas,num,,,,,,,,,,,1,,,,,,,
Igeologia,bibliotecas,cap,,,,,,,,,,,36,,,,,,,
Igeologia,auditorios,num,,,,,,,,,,,,,,,,,,
Igeologia,auditorios,cap,,,,,,,,,,,,,,,,,,
Igeologia,laboratorios,num,,,,,,,,30,,,27,,,,,,,
Igeologia,laboratorios,cap,,,,,,,,60,,,40,,,,,,,
Igeologia,talleres de docencia,num,,,,,,,,2,,,2,,,,,,,
Igeologia,talleres de docencia,cap,,,,,,,,30,,,6,,,,,,,
Igeologia,cubiculos,num,,,,,,40,,40,,,27,,,,,,,
Igeologia,cubiculos,cap,,,,,,78,,78,,,54,,,,,,,
Igeologia,cafeterias,num,,,,,,,,1,,,,,,,,,,
Igeologia,cafeterias,cap,,,,,,,,14,,,,,,,,,,
Igeologia,oficinas administrativas,num,,,,,,6,,12,,,,,,,,,,
Igeologia,oficinas administrativas,cap,,,,,,22,,29,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,Salones de clase,num,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,Salones de clase,cap,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,bibliotecas,num,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,bibliotecas,cap,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,auditorios,num,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,auditorios,cap,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,laboratorios,num,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,laboratorios,cap,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,talleres de docencia,num,,,,,,,,,,,1,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,cubiculos,num,,,,,,,,,,,4,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,cubiculos,cap,,,,,,,,,,,8,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,cafeterias,num,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,cafeterias,cap,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
Centro de Docencia en Investigación de Ciencias de la Tierra,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
IEMB,Salones de clase,num,,,,,,1,,,,,,,,,,,,
IEMB,Salones de clase,cap,,,,,,44,,,,,,,,,,,,
IEMB,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
IEMB,bibliotecas,cap,,,,,,16,,,,,10,,,,,,,
IEMB,auditorios,num,,,,,,,,,,,1,,,,,,,
IEMB,auditorios,cap,,,,,,,,,,,,,,,,,,
IEMB,laboratorios,num,,,,,,10,,18,,,25,,,,,,,
IEMB,laboratorios,cap,,,,,,28,,100,,,60,,,,,,,
IEMB,talleres de docencia,num,,,,,,5,,1,,,1,,,,,,,
IEMB,talleres de docencia,cap,,,,,,20,,2,,,3,,,,,,,
IEMB,cubiculos,num,,,,,,,,,,,26,,,,,,,
IEMB,cubiculos,cap,,,,,,,,,,,26,,,,,,,
IEMB,cafeterias,num,,,,,,,,22,,,,,,,,,,
IEMB,cafeterias,cap,,,,,,,,,,,,,,,,,,
IEMB,oficinas administrativas,num,,,,,,36,,6,,,,,,,,,,
IEMB,oficinas administrativas,cap,,,,,,127,,20,,,,,,,,,,
IM,Salones de clase,num,,,,,,1,,,,,,,,,,,,
IM,Salones de clase,cap,,,,,,40,,,,,,,,,,,,
IM,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
IM,bibliotecas,cap,,,,,,24,,,,,24,,,,,,,
IM,auditorios,num,,,,,,,,,,,,,,,,,,
IM,auditorios,cap,,,,,,,,,,,,,,,,,,
IM,laboratorios,num,,,,,,3,,,,,,,,,,,,
IM,laboratorios,cap,,,,,,3,,,,,,,,,,,,
IM,talleres de docencia,num,,,,,,,,1,,,,,,,,,,
IM,talleres de docencia,cap,,,,,,,,30,,,,,,,,,,
IM,cubiculos,num,,,,,,18,,18,,,20,,,,,,,
IM,cubiculos,cap,,,,,,48,,148,,,28,,,,,,,
IM,cafeterias,num,,,,,,,,,,,,,,,,,,
IM,cafeterias,cap,,,,,,,,,,,,,,,,,,
IM,oficinas administrativas,num,,,,,,9,,8,,,,,,,,,,
IM,oficinas administrativas,cap,,,,,,15,,42,,,,,,,,,,
IQ,Salones de clase,num,,,,,,,,1,,,1,,,,,,,
IQ,Salones de clase,cap,,,,,,,,35,,,45,,,,,,,
IQ,bibliotecas,num,,,,,,1,,,,,1,,,,,,,
IQ,bibliotecas,cap,,,,,,514,,,,,40,,,,,,,
IQ,auditorios,num,,,,,,,,,,,,,,,,,,
IQ,auditorios,cap,,,,,,,,,,,,,,,,,,
IQ,laboratorios,num,,,,,,1,,14,,,10,,,,,,,
IQ,laboratorios,cap,,,,,,4,,58,,,57,,,,,,,
IQ,talleres de docencia,num,,,,,,4,,2,,,2,,,,,,,
IQ,talleres de docencia,cap,,,,,,12,,3,,,20,,,,,,,
IQ,cubiculos,num,,,,,,3,,,,,,,,,,,,
IQ,cubiculos,cap,,,,,,5,,,,,,,,,,,,
IQ,cafeterias,num,,,,,,,,,,,,,,,,,,
IQ,cafeterias,cap,,,,,,,,,,,,,,,,,,
IQ,oficinas administrativas,num,,,,,,12,,5,,,,,,,,,,
IQ,oficinas administrativas,cap,,,,,,113,,22,,,,,,,,,,
II,Salones de clase,num,,,,,,7,,1,,,,,,,,,,
II,Salones de clase,cap,,,,,,12,,12,,,,,,,,,,
II,bibliotecas,num,,,,,,1,,,,,,,,,,,,
II,bibliotecas,cap,,,,,,8,,,,,,,,,,,,
II,auditorios,num,,,,,,,,,,,,,,,,,,
II,auditorios,cap,,,,,,,,,,,,,,,,,,
II,laboratorios,num,,,,9,,1,,14,,,,,,,,,,
II,laboratorios,cap,,,,,,4,,47,,,,,,,,,,
II,talleres de docencia,num,,,,2,,,,13,,,,,,,,,,
II,talleres de docencia,cap,,,,,,,,32,,,,,,,,,,
II,cubiculos,num,,,,34,,22,,22,,,,,,,,,,
II,cubiculos,cap,,,,68,,54,,54,,,,,,,,,,
II,cafeterias,num,,,,,,,,,,,,,,,,,,
II,cafeterias,cap,,,,,,,,,,,,,,,,,,
II,oficinas administrativas,num,,,,,,3,,3,,,,,,,,,,
II,oficinas administrativas,cap,,,,,,5,,6,,,,,,,,,,
OAN,Salones de clase,num,,,,,,,,,,,,,,,,,,
OAN,Salones de clase,cap,,,,,,,,,,,,,,,,,,
OAN,bibliotecas,num,,,,,,1,,,,,,,,,,,,
OAN,bibliotecas,cap,,,,,,720,,,,,,,,,,,,
OAN,auditorios,num,,,,,,,,,,,,,,,,,,
OAN,auditorios,cap,,,,,,,,,,,,,,,,,,
OAN,laboratorios,num,,,,,,2,,,,,,,,,,,,
OAN,laboratorios,cap,,,,,,4,,,,,,,,,,,,
OAN,talleres de docencia,num,,,,,,,,,,,,,,,,,,
OAN,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
OAN,cubiculos,num,,,,,,12,,,,,,,,,,,,
OAN,cubiculos,cap,,,,,,46,,,,,,,,,,,,
OAN,cafeterias,num,,,,,,,,,,,,,,,,,,
OAN,cafeterias,cap,,,,,,,,,,,,,,,,,,
OAN,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
OAN,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
CELE,Salones de clase,num,,,,,,4,,4,,,4,,,,,,,
CELE,Salones de clase,cap,,,,,,93,,93,,,100,,,,,,,
CELE,bibliotecas,num,,,,,,,,,,,,,,,,,,
CELE,bibliotecas,cap,,,,,,,,,,,,,,,,,,
CELE,auditorios,num,,,,,,1,,,,,,,,,,,,
CELE,auditorios,cap,,,,,,60,,,,,,,,,,,,
CELE,laboratorios,num,,,,,,4,,,,,4,,,,,,,
CELE,laboratorios,cap,,,,,,125,,,,,125,,,,,,,
CELE,talleres de docencia,num,,,,,,,,,,,,,,,,,,
CELE,talleres de docencia,cap,,,,,,,,,,,,,,,,,,
CELE,cubiculos,num,,,,,,3,,3,,,3,,,,,,,
CELE,cubiculos,cap,,,,,,6,,4,,,6,,,,,,,
CELE,cafeterias,num,,,,,,,,,,,,,,,,,,
CELE,cafeterias,cap,,,,,,,,,,,,,,,,,,
CELE,oficinas administrativas,num,,,,,,9,,9,,,,,,,,,,
CELE,oficinas administrativas,cap,,,,,,23,,23,,,,,,,,,,
CUEC,Salones de clase,num,,,,,,,,3,,,,,,,,,,
CUEC,Salones de clase,cap,,,,,,,,20,,,,,,,,,,
CUEC,bibliotecas,num,,,,,,,,1,,,,,,,,,,
CUEC,bibliotecas,cap,,,,,,,,10,,,,,,,,,,
CUEC,auditorios,num,,,,,,,,,,,,,,,,,,
CUEC,auditorios,cap,,,,,,,,,,,,,,,,,,
CUEC,laboratorios,num,,,,,,,,1,,,,,,,,,,
CUEC,laboratorios,cap,,,,,,,,6,,,,,,,,,,
CUEC,talleres de docencia,num,,,,,,,,1,,,,,,,,,,
CUEC,talleres de docencia,cap,,,,,,,,6,,,,,,,,,,
CUEC,cubiculos,num,,,,,,,,,,,,,,,,,,
CUEC,cubiculos,cap,,,,,,,,,,,,,,,,,,
CUEC,cafeterias,num,,,,,,,,1,,,,,,,,,,
CUEC,cafeterias,cap,,,,,,,,10,,,,,,,,,,
CUEC,oficinas administrativas,num,,,,,,,,2,,,,,,,,,,
CUEC,oficinas administrativas,cap,,,,,,,,14,,,,,,,,,,
