group,sub,year,a,b,c,d,point,w,conta,contb,contc,contd,dist,distw,udist,wdist,clusters,id,tipo,phase,rweight,rel,det.ord,pos
3,Fac Hist,1959,-1.1051453339380406,0.4993025741455848,0.3734501332679626,-1.3890352179062997,facultad de arquitectura,0.13762818981179992,16.809166789538097,3.4311128937818824,1.919431577256952,26.55424218678451,1.881364693060676,0.11588827685563588,3.228484076180451,0.1705063740297803,3,facultad de arquitectura,Fac Hist,1959,NA,NA,NA,0.03508771929824561
3,Fac Hist,1959,-0.6232121646755014,-0.02744994068268678,0.5525604249933741,0.00768832287901651,facultad de ingenieria,0.1402341955209359,5.4466036303089584,0.01056663602354755,4.2816728542128315,8.289286586418047e-4,0.8333840861334931,0.05117965280390088,2.5931396313503647,0.12798870273170992,3,facultad de ingenieria,Fac Hist,1959,NA,NA,NA,0.05263157894736842
4,Fac Hist,1959,-0.9932142057216904,-0.368126556218788,-0.6224604298640372,0.33782023308529197,facultad de derecho,0.1278681283336988,12.613864265066413,1.7328325784483198,4.954339970509249,1.4592631739329935,1.2741943009090866,0.07937610432274114,2.7723425577548757,0.13487728574816724,4,facultad de derecho,Fac Hist,1959,NA,NA,NA,0.08771929824561403
4,Fac Hist,1959,0.7604609983331856,-0.35602925950316017,-0.4357797599893577,0.451923388768555,facultad de medicina,0.19300729914235443,11.16163005880914,2.446499410529014,3.665285798508573,3.9418797356507502,1.0484257303885245,0.06043370798677749,2.4273808239390604,0.13215960649253589,4,facultad de medicina,Fac Hist,1959,NA,NA,NA,0.10526315789473684
4,Facultad,1959,-0.21131971927111184,-0.3984347115729765,-0.5102244170026358,0.5217692358100029,facultad de ciencias,0.04664855441849906,0.20831389541472808,0.7405468247987725,1.2143969456947423,1.2699748718530897,0.8578917963720695,0.05841945601598736,2.446147350525927,0.1235341593446544,4,facultad de ciencias,Facultad,1959,NA,NA,NA,0.12280701754385964
4,Facultad,1959,-0.5810950373712617,-0.6241539276569772,-0.7326454144980658,0.6324188876094581,facultad de contaduria y administracion,0.09496452354656236,3.20668076482577,3.6995151418453074,5.097404115038075,3.7981407756472185,1.2899467123324768,0.0833891098139549,2.6983225967903253,0.1355799042227235,4,facultad de contaduria y administracion,Facultad,1959,NA,NA,NA,0.14035087719298245
4,Facultad,1959,0.9311012822644096,-0.7097793361300724,-0.3458463138493041,0.00886445063693085,fcpys,0.01348879311056002,1.169410376247181,0.6795474649047383,0.16133901304634857,1.0599289283820652e-4,1.220829453740333,0.08602585270111084,2.5354267004331703,0.14752895663860371,4,fcpys,Facultad,1959,NA,NA,NA,0.15789473684210525
4,Escuela,1959,0.3338071911705859,0.13987410966346675,-1.0841665690240614,1.0653215404699945,enap,0.02893886777641513,0.32245781904359355,0.05661821923869042,3.401524146831078,3.284300998216488,1.5624721250025904,0.10837542505520044,2.733549745217546,0.1576473423800967,4,enap,Escuela,1959,NA,NA,NA,0.17543859649122806
2,Facultad,1959,0.8510985240593569,-0.7478672330402362,3.7341643432918055,1.5850689553726895,facultad de economia,0.04368243321017608,3.1642187254901137,2.4431820703376284,60.91071210518214,10.974964945806226,4.211899931374138,0.2877081352809958,4.892692405823842,0.3218057166700522,2,facultad de economia,Facultad,1959,NA,NA,NA,0.3157894736842105
2,Facultad,1959,2.868064604320924,-2.8787201832085487,-0.6156471271099919,-3.3249331522674703,ffyl,0.02854031080469179,23.476673377344813,23.651440880004973,1.0817388132914951,31.551828653148768,5.286494710102043,0.36682975057202655,5.775418879215626,0.3956398077599144,2,ffyl,Facultad,1959,NA,NA,NA,0.3333333333333333
2,Escuela,1959,0.512204523546923,-0.33108697874287435,1.5375055792147043,0.34055566888168043,escuela nacional de musica,0.02257357156742655,0.5922254919991141,0.24744830298953527,5.336219418788202,0.261804137645145,1.688749132097129,0.1179020023360218,2.897088382581814,0.17618405869427653,2,escuela nacional de musica,Escuela,1959,NA,NA,NA,0.3508771929824561
1,Facultad,1959,2.3195702792896573,3.242575414644546,-0.32753369012182454,0.23207404555995045,fo,0.02849938537922382,15.333827208658684,29.96509543058812,0.30573661322141743,0.15349302322743766,4.00697370605405,0.2780555298714857,4.416629043682503,0.30995957790032413,1,fo,Facultad,1959,NA,NA,NA,0.7017543859649122
1,Facultad,1959,1.0465706069946508,2.01295612316972,-1.5719248062823965,1.612174484573467,fmvz,0.02472241644962241,2.707871083723128,10.017504242148933,6.108779550848589,6.425619498859094,3.1964600035894857,0.22267398487258463,3.858024996233544,0.25705975143821064,1,fmvz,Facultad,1959,NA,NA,NA,0.7192982456140351
5,Escuela,1959,1.643310737992547,0.42758685426273774,0.2406877223540009,-1.470760608454491,eneo,0.01095795963707823,2.959164325112378,0.20034494359940408,0.06348009540170049,2.3703565386445553,2.259284852915474,0.15960912147775458,3.122488509351851,0.20936746145743423,5,eneo,Escuela,1959,NA,NA,NA,0.9298245614035088
5,Facultad,1959,0.37701287652120846,1.8841734428599168,0.5071265550589661,-1.168530758107736,facultad de quimica,0.05824537129095553,0.8278921884179659,20.677744960761085,1.4979389821685156,7.953196539032301,2.30540446501936,0.15508038042703434,3.262593421517541,0.20424744610891288,5,facultad de quimica,Facultad,1959,NA,NA,NA,0.9473684210526315
4,Escuela,1961,-3.674398803144432,3.826355227743156,-0.4581351035407328,-0.03415260676205726,enap,0.03323572821634416,44.872243197207986,48.66041083316048,0.6975772982561604,0.00387661716261173,5.324777466436652,0.36770032926783214,5.862621659143973,0.398988398588495,4,enap,Escuela,1961,NA,NA,NA,0.08771929824561403
