entidades,infdist,infudist,infvar,infdisp,infdiswp,infudisp,infwdisp,infvarp
enap,0.011952001366274834,0.05938690103000699,0.32697283244857545,0.6052977073381307,1.3314694470803137,2.0036788825946727,1.0622672325419615,0.38428791238312726
eneo,0.023488080832325675,0.04456471531129491,0.3949271119390545,1.1895314468166451,3.590188080741429,1.5035871114569013,3.256683567188576,0.46415390004741686
enep acatlan,0.003475295356306196,9.728315136734444e-4,0.0507464819548602,0.17600301799083823,0.6317336991434581,0.03282275933686418,0.5898083494025134,0.059641834660035004
enep aragon,0.0032430485281587096,6.8124147533144e-4,0.050086605346734814,0.16424109893593422,0.7107405449733476,0.022984684069969313,0.6950772857858565,0.058866288256781925
enep cuautitlan,0.0029304089222710328,7.297373806229857e-4,0.07528743665628213,0.1484077643447176,0.4130875210720319,0.024620907204021776,0.3651587257611565,0.08848457422183498
enep iztacala,0.003422992619997345,3.723683740890493e-4,0.12677270066316737,0.17335419580574454,0.6476549292869228,0.012563488492712374,0.5860025684166735,0.14899469206721225
enep zaragoza,0.003500813656203583,6.805704095191878e-4,0.02692688289948819,0.17729536794543577,0.7515948625451063,0.022962042706747454,0.716381013809202,0.031646897202252035
ents,0.002030158446983288,0.004163324407529423,0.19544011506133074,0.10281543783617628,0.4699152436204768,0.14046810074401184,0.2562257355092345,0.22969882008362005
escuela nacional de musica,0.015392099087549349,0.016010121719856052,2.4315682062158004,0.7795181746802953,1.4700765293791511,0.5401720285360055,1.6351836402393114,2.857797887323915
facultad de arquitectura,0.01014101785901289,0.04563689548608796,0.8387737028496929,0.5135821752377125,1.8740814550306424,1.5397618358036727,2.031758957984817,0.98580237635085
facultad de ciencias,0.001652994667432628,0.010568690789900526,0.8652236335830139,0.08371433802395685,1.2164358274280649,0.356581370388338,1.4831308477603555,1.0168887164240268
facultad de contaduria y administracion,0.008718656441434991,0.012224207340444604,0.23506228619260128,0.44154803813532906,1.7269032813311869,0.41243751870688844,1.6640323316035563,0.2762663630629521
facultad de derecho,0.021778013780717753,0.03803665440778925,0.1227559339578903,1.1029267323415022,2.4106581499072037,1.2833342013069498,2.338013474859314,0.1442738261770966
facultad de economia,0.034730227788036805,0.05461385660315399,0.11290168422975455,1.7588792547119523,3.3067223862176562,1.8426391893643552,2.923661901225183,0.13269222464840424
facultad de ingenieria,0.01964098102512013,0.036054077838168386,0.0030661763164943068,0.9946987471004918,0.6321609655080489,1.2164432415704058,0.9451756858054078,0.003603646476804766
facultad de medicina,0.00892841382720011,0.002613845636371348,1.8980428642260705,0.45217100083504286,3.2949406438163606,0.0881896043255936,2.821933513638962,2.230750868336572
facultad de psicologia,0.01289143362822509,0.012120914163801011,0.3263351023619663,0.6528743580539259,0.5118096147186711,0.40895246807842894,0.11589085776346356,0.3835383945659689
facultad de quimica,0.06861507009446144,0.12864776769577047,0.3683248245995827,3.474944768180477,5.090199437285384,4.3404995201671674,4.2487434256622185,0.4328884967729429
fcpys,0.032891334492596735,0.04798268588222321,0.7659250483185502,1.665750258014368,3.5457410335697994,1.6189074150174234,2.9690162277401013,0.9001840784633784
ffyl,0.06265538057966658,0.0935846005285561,1.1143347834138666,3.1731219780717463,4.858440604656093,3.1574890179970727,3.69900614541798,1.3096665689537619
fmvz,0.006677160501354695,0.02080978342773543,0.9950249683561907,0.3381584237768889,1.967983233162574,0.702109773070224,1.8808607886526507,1.169442931986791
fo,0.07074743864008526,0.12438655271247123,2.333721254269065,3.582936538956883,4.884781197878803,4.196728649349737,4.11698298047919,2.742799339539133
