year,point,a,b,c,d,e,w,type,dimx,dimy,dist,udist,wdist,clusters,id,phase,rweight,rel,det.ord,pos
1961,eneo,0.5710110063371325,0.14549645843770154,0.38624300634006375,1.5320539313942907,0.13730453814511231,0.01255991970324626,row,44.25709695830014,33.81282389971908,1.6862964441115835,2.4565950994848587,0.17232809866766444,1,eneo,1961,NA,NA,NA,0.07142857142857142
1961,fcpys,-0.6515692307683292,-0.30506515395495415,0.887428470613084,2.587631578501859,-1.6176846364348068,0.01814812204851968,row,44.25709695830014,33.81282389971908,2.8285992447068726,3.0996346222500404,0.23560876420691504,1,fcpys,1961,NA,NA,NA,0.03571428571428571
1961,fmvz,0.1349512927047286,0.5309046180044913,0.02885292977887445,2.0936168631814094,0.8997922652239202,0.0329117268351932,row,44.25709695830014,33.81282389971908,2.164286401143703,2.706335845686577,0.19638666160037432,1,fmvz,1961,NA,NA,NA,0.14285714285714285
1961,fo,0.437145245491055,0.13244619618843392,-0.6962931093577398,2.972865813363091,3.4647174347414618,0.02905506344873715,row,44.25709695830014,33.81282389971908,3.087295450542802,3.4481372620192574,0.24830912903533195,1,fo,1961,NA,NA,NA,0.10714285714285714
1961,escuela nacional de musica,-0.1994141227533286,-0.5627960104457456,1.3215326500451976,0.8951877237205758,1.2894675631678063,0.01327769729545958,row,44.25709695830014,33.81282389971908,1.7042050779065987,2.495796606401211,0.17547648488936468,2,escuela nacional de musica,1961,NA,NA,NA,0.25
1961,ffyl,-0.26399723664306585,0.00361831626176465,4.0419021195207705,-0.5784298260573788,-0.04779454080010929,0.04700792533973368,row,44.25709695830014,33.81282389971908,4.091608661715709,4.6123938833099,0.31479081925505953,2,ffyl,1961,NA,NA,NA,0.2857142857142857
1961,facultad de medicina,1.185532940666124,0.8264919053516709,-0.26574291016901586,-0.6797701229725637,0.34309146673073626,0.2071114505727972,row,44.25709695830014,33.81282389971908,1.619037966635599,3.0557826541939064,0.15407398862919056,5,facultad de medicina,1961,NA,NA,NA,0.5
1961,facultad de quimica,1.2703395278802505,0.8841914790704487,0.03793052951900183,0.6060302404414465,-1.7905972456993,0.0828242521721278,row,44.25709695830014,33.81282389971908,1.6626089333198335,2.7963758801840397,0.1652332727452756,5,facultad de quimica,1961,NA,NA,NA,0.5357142857142857
1961,facultad de arquitectura,-0.6228908669387105,-0.6035628566755714,-0.7571050744745791,-1.0752926548409396,0.31813403920783884,0.111459941990163,row,44.25709695830014,33.81282389971908,1.5753550524958078,2.9530660437401752,0.1535945949007743,3,facultad de arquitectura,1961,NA,NA,NA,0.75
1961,facultad de ciencias,-0.36885135538606345,-0.39561743846700953,0.7097327347199015,-1.4514206364809972,1.782505534152634,0.04759987049178044,row,44.25709695830014,33.81282389971908,1.7037919176722336,3.0207724280446273,0.17159148315814546,3,facultad de ciencias,1961,NA,NA,NA,0.7142857142857143
1961,facultad de contaduria y administracion,-0.411456515637374,-0.9510012892136585,-0.2832426343589921,0.15771892713397404,-0.8045475982081732,0.09272642323262,row,44.25709695830014,33.81282389971908,1.0857262851388478,2.3728627968471496,0.13071982832907,3,facultad de contaduria y administracion,1961,NA,NA,NA,0.7857142857142857
1961,facultad de derecho,-0.3083941797277239,-0.8363030618148575,-0.6679111623151232,-0.34166658552904183,-0.5303749588450805,0.10095881309444664,row,44.25709695830014,33.81282389971908,1.1650541436787625,2.5755051261584505,0.13357564771033836,3,facultad de derecho,1961,NA,NA,NA,0.8214285714285714
1961,facultad de economia,-0.25659646417163806,-0.7464570595032175,0.5542533931371387,0.6036710389309122,0.24357904419687076,0.04230118886131826,row,44.25709695830014,33.81282389971908,1.1378292640618517,2.250031119575751,0.143556578049127,3,facultad de economia,1961,NA,NA,NA,0.6785714285714286
1961,facultad de ingenieria,-0.457501405222785,-0.7110152858101345,-0.1649288188347321,0.5342459537315034,-0.2638787443375218,0.12882187669751297,row,44.25709695830014,33.81282389971908,1.0136422084725922,2.259675708479203,0.13068941007539786,3,facultad de ingenieria,1961,NA,NA,NA,0.8571428571428571
1961,enap,-3.674398803144432,3.826355227743156,-0.4581351035407328,-0.03415260676205726,-0.26307063053261287,0.03323572821634416,row,44.25709695830014,33.81282389971908,5.324777466436652,5.862621659143973,0.398988398588495,4,enap,1961,NA,NA,NA,1
