point,meancont,contdiso,contdisp
admin_admin,0.11539883358395844,0.4898859365318869,0.9019698249913849
admin_admin_f,0.009627349240442291,0.9114484955375073,1.169344581986189
admin_auxadm,0.6088671063045631,1.117375893370985,1.3015262143160586
admin_auxadm_f,0.005283087691343845,1.466544648096177,1.57092105124219
admin_conf,0.1349956021883408,1.02034038605896,1.1366152980216566
admin_conf_f,0.013118954366917398,2.0430496594997933,2.0086526012611343
admin_espe,0.777314164261774,1.8096916911467322,1.7981488235178258
admin_espe_f,0.012044364190600988,1.108925551225002,1.3090718010989304
admin_obre,0.13748533823174536,1.4434994697705847,1.48954282252849
admin_obre_f,6.552348714330275e-4,4.0663095294739655,3.4266927211132656
admin_prof,0.08720447601564511,1.4669428458824927,1.4761531930684781
admin_prof_f,0.016514205122618038,1.4162752882775549,1.496179163053691
admin_serv,0.5788589928049874,1.3057641518605696,1.4463159699349664
admin_serv_f,0.007124891486080465,2.5133970779710255,2.2813667735779974
admin_total,1.158454868681989,0.9217502407693341,1.1865213410306332
admin_total_f,0.006084400813328577,0.8553030469185339,1.167273491673764
cap_Salones_de_clase,12.894482807608785,0.8454296791895162,1.096325925645832
cap_auditorios,8.549571916007507,1.7833849574629748,1.721404043880296
cap_bibliotecas,1.015533902006438,0.8798704101940393,1.1568145538051404
cap_cafeterias,0.659759654982775,1.1170084506633455,1.2340478769362955
cap_cubiculos,11.651644985596272,4.730414413482579,3.957065402255293
cap_laboratorios,20.35358752504798,3.0852216006919564,2.7370713862655527
cap_oficinas_administrativas,0.36056502154149117,0.839250835778512,1.0603687326459188
cap_talleres_de_docencia,20.565568487127614,6.457719591044634,5.290283498111439
docen_ayu_f,0.011252803816332469,1.4185305607067649,1.5339059099338261
docen_ayut,3.6842771321055245,1.823458966909905,1.7415910115943305
docen_cat_f,0.005125452347962773,1.4947969077212717,1.5699898625829463
docen_catt,3.1654896810255226,0.9430307338464136,1.130992225001987
docen_emet,0.024223663553912905,1.8354466653534924,1.727054528086261
docen_mt_f,0.0066393127949154205,2.526135164253153,2.31514573256188
docen_mtt,0.1871204885675361,1.116113992670944,1.2280764088731966
docen_tc_f,0.004793449798514539,1.4960941004226176,1.566963719866891
docen_tct,0.6852565402943236,1.6050150545359778,1.6740786665185798
docen_tect,0.06591375340006063,1.853779401681381,1.7242442332816015
docen_total_f,0.005030761076805279,1.289603684734746,1.4464019481770978
docen_totalf,4.420088980361833,1.0177274126933387,1.1819722984619276
fem,0.016225867908745212,1.3446720274767359,1.4918338820161074
inv_ay,0.09022452496393642,2.1411684803080875,1.9785168786791405
inv_ay_f,0.012100900915281841,1.8980062487876008,1.8040717371206512
inv_eme,0.012451335710931028,2.8664058929366787,2.5011138212658865
inv_mt,0.01809148551725755,1.7523228546396201,1.689143612431152
inv_mt_f,0.010331930923903141,3.024795474520353,2.662944427563709
inv_tc,0.5635585405211343,1.5810510864485507,1.5922702940661826
inv_tc_f,0.0033877804799649796,2.5151788945531117,2.2508002583008753
inv_tec,0.013325449746511122,1.5829597608541202,1.5280150534982124
inv_tec_f,0.005059589570035528,2.727248624816979,2.4323993351559428
inv_total,0.5747885033355138,1.5523825503731263,1.5570765062977723
inv_total_f,0.0028633770703992765,2.02932709838704,1.9072085871968742
n,8.099518981735654,0.254000005317973,0.6810288197577543
num_Salones_de_clase,0.26474033401686,1.2095133540959442,1.2478483921681056
num_auditorios,0.021977357720970977,1.6160403738956566,1.6244647958503229
num_bibliotecas,0.04665552379985099,1.4409837861697061,1.4907925553469017
num_cafeterias,0.004611816647488615,0.7824635203174122,1.0575872267458755
num_cubiculos,0.1544879480020575,0.9972577498343321,1.1922855106197245
num_laboratorios,0.4386986132774685,2.351862999345253,2.1189884776137133
num_oficinas_administrativas,0.08692238571648447,0.79499329057229,1.103110333908431
num_talleres_de_docencia,1.5264725689355019,6.362685354920037,5.218811998983615
perm,0.008045871979111477,0.7748133237580221,1.1408460346077762
pern,0.009401145091677734,0.8374798775919418,1.1337238125220332
pert,0.008575209634212527,0.8384440476889906,1.1783922332331458
