"","colus","infdim1","infdim2","infdim3","infdim4","infdist","infdim"
"1","admin_admin",0.000838472017544722,0.000740671211011956,0.000477113656978972,0.000421361538089221,0.00113776985032921,0.247761842362487
"2","admin_admin_f",6.05523010782649e-06,6.86685961776012e-06,3.46110111237863e-07,-5.54540800309922e-06,-0.000303085410045867,0.000772279183372526
"3","admin_auxadm",0.000756264715080557,0.000226687602829512,0.00041511089867946,0.000213936497266642,0.00194314411964047,0.161199971385617
"4","admin_auxadm_f",-1.49947606287171e-06,6.61820190761553e-07,-1.375637298906e-06,-4.77223242814628e-06,-0.000355940837917679,0.000698552559916243
"5","admin_conf",4.64010735611309e-05,7.80922430539399e-05,7.61439099250527e-05,-8.84067731841964e-05,0.00179450403931547,0.0112230453355927
"6","admin_conf_f",-1.2030752764014e-06,1.72237481166349e-07,-1.91998408393679e-05,-1.21278149436133e-05,-0.000482687741783394,0.00323584935782162
"7","admin_espe",-0.000208171368406729,-0.000543048172291505,0.000166475032796015,-0.000121028406881329,-0.00201002396401462,0.0705772914783548
"8","admin_espe_f",-3.04446920551538e-06,5.91467422972336e-06,1.2640780847617e-06,-1.33851220025794e-05,-0.000438453596886212,0.000925083889360967
"9","admin_obre",0.000145750835191583,4.97561698492577e-06,1.81778190972981e-05,-0.000132170824734185,0.00156138326693966,0.00367334465396219
"10","admin_obre_f",-2.72471793738571e-07,-2.77469094756011e-07,-3.2718826603606e-07,-3.48233659658304e-07,-5.03782662342189e-06,0.000122536281418895
"11","admin_prof",-7.76757416509621e-06,-3.0929563301918e-05,-1.57920283636037e-06,-4.60153858315715e-05,0.000169128132261331,0.00862917261349461
"12","admin_prof_f",-8.46611948435161e-07,9.02115561474126e-07,-5.68858520971771e-06,-1.75188673612048e-05,-0.000608362324228118,0.00231519489578835
"13","admin_serv",0.000235982692053771,0.000131341877677715,-6.7587838805977e-05,-0.000233125868991935,0.00233875293707797,0.00666108619335748
"14","admin_serv_f",-4.61944804064363e-06,4.31565338465667e-08,-4.3143284483016e-06,-9.21037596815499e-06,-0.0004335512733733,0.00181009959232536
"15","admin_total",0.00252967099740709,0.00149549897732748,0.0015385253285056,0.000763715803846182,0.00601869040509362,0.632741110708634
"16","admin_total_f",3.96479541253658e-07,4.62725234318118e-06,9.67548016289621e-07,-3.9315533648665e-06,-0.00022052825003227,0.000205972653585795
"17","cap_Salones_de_clase",0.0234795953797846,0.0111535507662525,0.0102624491787605,0.000289587579446832,0.0807973654167928,4.51851829042444
"18","cap_auditorios",0.00215673422928148,0.000250107662887633,-0.00420620764320884,-0.00416827745395199,-0.0157939181053615,0.596764320499171
"19","cap_bibliotecas",0.00104510116657031,0.00150494474317081,0.00158541009717217,-0.000114370977558981,0.00681664535942961,0.40210850293543
"20","cap_cafeterias",0.000530972917492212,0.000484008130522962,-0.000546835409873159,-0.000181582039552125,-0.00405090516615481,0.028656359858989
