year,a,b,c,d,point,w,conta,contb,contc,contd,dist,udist,wdist,clusters,maxclus,maxangle,minclus,minangle
1959,0.29740410436741954,0.0783836664306345,0.03895675411229583,0.24015134687442627,admin_conf,0.00510617754250303,1.046907522144226,0.13383183855561348,0.05177100750242133,3.838306138483912,0.39215239200375,0.9110838936214222,0.01188319599421641,1,3,2.353261066253392,2,0.967926309431656
1959,0.7366061205221692,0.7960557230518318,-0.07171869286463875,0.14316908032972525,admin_espe,0.00418598300304135,5.264857250138253,11.316100182691338,0.14384254847792194,1.1183289741919904,1.0963276186719766,1.2179457576687576,0.02803995742983163,1,3,2.353261066253392,2,0.967926309431656
1959,0.5123650031031788,0.40844153110323494,-0.22384802400426015,0.15121084733939527,admin_serv,0.00941846175684305,5.731356032770025,6.70273662859887,3.152910813200787,2.806852032637822,0.7087418704567869,0.9939181215110556,0.0187128770506905,1,3,2.353261066253392,2,0.967926309431656
1959,0.26790006035910363,0.05515368384564458,0.05075117348605493,-0.281793220488042,admin_obre,0.0011006248413169,0.18310635908078732,0.01428238534940919,0.01893898347501414,1.1391319619610156,0.39597407984032307,0.9298209998786404,0.01195104134562613,1,3,2.353261066253392,2,0.967926309431656
1959,0.2945447128370895,0.05881663350944142,0.00236064839559545,0.07490962415692325,admin_admin,0.00683830844031324,1.3752119642687008,0.10091631812079552,2.5458714776407986e-4,0.5001468844454066,0.30956906933646744,0.8785233871214206,0.01017492115651645,1,3,2.353261066253392,2,0.967926309431656
1959,0.4506620277266645,0.4201918703123487,-0.15208917626724627,0.01789536187973576,admin_auxadm,0.01288272355246348,6.064962415336751,9.7032085084384,1.990808471263891,0.05377275696883273,0.634908523037575,0.9719719315105512,0.0170581774594077,1,3,2.353261066253392,2,0.967926309431656
1959,0.6680324130660013,0.7469887237012792,-0.2111314473806441,0.13102628317838352,admin_prof,5.593339357512156e-4,0.578608398475112,1.3314094848099498,0.16657207531305987,0.12515887725159425,1.0324746162498322,1.1959718204866034,0.02648633855165762,1,3,2.353261066253392,2,0.967926309431656
1959,0.495499763047602,0.4135382499526548,-0.10992880128834406,0.16598557381900353,admin_total,0.01961277381166359,11.162061616489291,14.308126660406137,1.5833873884092335,7.042929710115113,0.6754031769416325,0.9682771087862404,0.01793745675453001,1,3,2.353261066253392,2,0.967926309431656
1959,0.5507066450725145,-0.19306985711446356,0.17140450584436234,-0.23885791523270625,admin_conf_f,1.3424675915515777e-4,0.09437629795988269,0.02134740776248888,0.02634956537872916,0.09982900236605977,0.6534419537696433,0.8820416804712194,0.0174443302401068,2,3,1.9606079764956896,5,0.8741049803953531
1959,0.80021255523492,0.0034875052108951,-0.07240303066350652,-0.4256508832884658,admin_espe_f,1.4559230855526863e-4,0.21610640967060696,7.554062051601376e-6,0.00509890711150063,0.34381051608764585,0.9092706800187212,0.9617015801987988,0.02359790941244191,2,3,1.9606079764956896,5,0.8741049803953531
1959,1.5099869127528691,0.05748404730294075,0.1592491464565563,-1.2203226694066165,admin_serv_f,1.4283661459806386e-5,0.07549260441007104,2.0134767064095292e-4,0.00242001998283522,0.27724425298188204,1.9488233887384712,1.7308959699367197,0.04914911969465031,2,3,1.9606079764956896,5,0.8741049803953531
1959,0.5541099206591351,-0.15935256578784707,0.19645916041527145,-0.3111909372174706,admin_admin_f,1.5231963792551676e-4,0.10840922598875724,0.01650009349350975,0.03927585457648164,0.1922575598152174,0.6840080741580499,0.8991876097794447,0.01822487983592815,2,3,1.9606079764956896,5,0.8741049803953531
1959,1.2544842994719678,0.41722224021226273,-0.09515794474901389,-0.9109654798197492,admin_auxadm_f,1.7183865834803334e-5,0.06268589447584383,0.01276051374482175,0.00103952791770946,0.18586531813558368,1.6083278257934528,1.4778738872313577,0.04072653524979825,2,3,1.9606079764956896,5,0.8741049803953531
1959,0.6598767588281295,-0.27454777782317774,0.05893639017629498,-0.5979415563875422,admin_prof_f,1.082581811131385e-4,0.10927099173996303,0.03481039706123746,0.00251219280413898,0.5044891694672347,0.93371377953382,1.043650722207958,0.02421641294248608,2,3,1.9606079764956896,5,0.8741049803953531
1959,0.852433827004126,-0.04746896561294794,0.21147853834549343,-0.3194867950981766,admin_total_f,7.287145000776212e-5,0.1227431474858669,7.004696660509329e-4,0.02177284538902161,0.09694755992546689,0.93578401169293,0.9354064998039504,0.02422612952972134,2,3,1.9606079764956896,5,0.8741049803953531
1959,1.398901092255127,-1.0601629698394408,-0.20979370667105388,-0.9293665195841398,docen_tct,0.0013351842337287,6.0566671531901966,6.401751946278219,0.39260089476035587,15.03103504356185,1.9971492972770184,1.8295733330743615,0.05028557986539427,2,3,1.9606079764956896,5,0.8741049803953531
1959,-0.2232626306905065,0.02926597242486855,0.00379228299812508,-0.3270397786172828,docen_mtt,0.002345593924118,0.2710212830244207,0.00857020343867037,2.2536137469517903e-4,3.2698485226397453,0.3970794600746781,1.2120702734145106,0.0112135786522746,1,3,2.353261066253392,2,0.967926309431656
1959,0.40357778362954383,-0.27657355898394276,-0.03412153762484379,0.01315346114030983,docen_catt,0.05813464325775538,21.94865980509217,18.970060393662543,0.4521862749432681,0.1310957914744966,0.4906172172256419,0.8935089269196856,0.01339646378497855,1,3,2.353261066253392,2,0.967926309431656
1959,0.00451205015234084,0.6442022914073502,0.5414837586599004,-0.4075142234993477,docen_ayut,0.01356835869951336,6.403149566950124e-4,24.02062105735477,26.57806524471163,29.3688205304898,0.935034466796699,1.3909021984408891,0.02423282240594941,1,3,2.353261066253392,2,0.967926309431656
