year,a,b,c,d,point,w,conta,contb,contc,contd,dist,udist,wdist,clusters,maxclus,maxangle,minclus,minangle
1959,0.3338071911705859,0.13987410966346675,-1.0841665690240614,1.0653215404699945,enap,0.1701142785788869,0.32245781904359355,0.05661821923869042,3.401524146831078,3.284300998216488,1.5624721250025904,2.733549745217546,0.605477679362679,4,2,1.7210577635857036,1,1.4728711902865568
1959,1.643310737992547,0.42758685426273774,0.2406877223540009,-1.470760608454491,eneo,0.10468027339034912,2.959164325112378,0.20034494359940408,0.06348009540170049,2.3703565386445553,2.259284852915474,3.122488509351851,0.752356851253099,5,1,1.5041927667144486,2,0.8741049803953531
1959,0.512204523546923,-0.33108697874287435,1.5375055792147043,0.34055566888168043,escuela nacional de musica,0.15024503841201065,0.5922254919991141,0.24744830298953527,5.336219418788202,0.261804137645145,1.688749132097129,2.897088382581814,0.6585535433951781,2,1,0.967926309431656,2,0.8794556251512784
1959,-1.1051453339380406,0.4993025741455848,0.3734501332679626,-1.3890352179062997,facultad de arquitectura,0.37098273519370134,16.809166789538097,3.4311128937818824,1.919431577256952,26.55424218678451,1.881364693060676,3.228484076180451,0.6821956624608949,3,1,2.353261066253392,2,1.9606079764956896
1959,-0.21131971927111184,-0.3984347115729765,-0.5102244170026358,0.5217692358100029,facultad de ciencias,0.2159827641699658,0.20831389541472808,0.7405468247987725,1.2143969456947423,1.2699748718530897,0.8578917963720695,2.446147350525927,0.507596402976223,4,2,1.7210577635857036,1,1.4728711902865568
1959,-0.5810950373712617,-0.6241539276569772,-0.7326454144980658,0.6324188876094581,facultad de contaduria y administracion,0.30816314436765857,3.20668076482577,3.6995151418453074,5.097404115038075,3.7981407756472185,1.2899467123324768,2.6983225967903253,0.556688426309455,4,2,1.7210577635857036,1,1.4728711902865568
1959,-0.9932142057216904,-0.368126556218788,-0.6224604298640372,0.33782023308529197,facultad de derecho,0.35758653265146717,12.613864265066413,1.7328325784483198,4.954339970509249,1.4592631739329935,1.2741943009090866,2.7723425577548757,0.5630234185085022,4,2,1.7210577635857036,1,1.4728711902865568
1959,0.8510985240593569,-0.7478672330402362,3.7341643432918055,1.5850689553726895,facultad de economia,0.20900342870435423,3.1642187254901137,2.4431820703376284,60.91071210518214,10.974964945806226,4.211899931374138,4.892692405823842,1.1487151216278606,2,1,0.967926309431656,2,0.8794556251512784
1959,-0.6232121646755014,-0.02744994068268678,0.5525604249933741,0.00768832287901651,facultad de ingenieria,0.3744785648350729,5.4466036303089584,0.01056663602354755,4.2816728542128315,8.289286586418047e-4,0.8333840861334931,2.5931396313503647,0.5318760668070698,3,1,2.353261066253392,2,1.9606079764956896
1959,0.7604609983331856,-0.35602925950316017,-0.4357797599893577,0.451923388768555,facultad de medicina,0.4393259600141499,11.16163005880914,2.446499410529014,3.665285798508573,3.9418797356507502,1.0484257303885245,2.4273808239390604,0.5285055590913001,4,2,1.7210577635857036,1,1.4728711902865568
1959,0.37701287652120846,1.8841734428599168,0.5071265550589661,-1.168530758107736,facultad de quimica,0.24134077834248305,0.8278921884179659,20.677744960761085,1.4979389821685156,7.953196539032301,2.30540446501936,3.262593421517541,0.7494363675318344,5,1,1.5041927667144486,2,0.8741049803953531
1959,0.9311012822644096,-0.7097793361300724,-0.3458463138493041,0.00886445063693085,fcpys,0.11614126359980773,1.169410376247181,0.6795474649047383,0.16133901304634857,1.0599289283820652e-4,1.220829453740333,2.5354267004331703,0.5704011509065715,4,2,1.7210577635857036,1,1.4728711902865568
1959,2.868064604320924,-2.8787201832085487,-0.6156471271099919,-3.3249331522674703,ffyl,0.168938778273941,23.476673377344813,23.651440880004973,1.0817388132914951,31.551828653148768,5.286494710102043,5.775418879215626,1.3954330102093158,2,1,0.967926309431656,2,0.8794556251512784
1959,1.0465706069946508,2.01295612316972,-1.5719248062823965,1.612174484573467,fmvz,0.15723363650829428,2.707871083723128,10.017504242148933,6.108779550848589,6.425619498859094,3.1964600035894857,3.858024996233544,0.91693343528255,1,2,1.380419368467452,1,1.1713065178490802
1959,2.3195702792896573,3.242575414644546,-0.32753369012182454,0.23207404555995045,fo,0.1688176098018919,15.333827208658684,29.96509543058812,0.30573661322141743,0.15349302322743766,4.00697370605405,4.416629043682503,1.078721582425842,1,2,1.380419368467452,1,1.1713065178490802
1961,-3.674398803144432,3.826355227743156,-0.4581351035407328,-0.03415260676205726,enap,0.1823066872507538,44.872243197207986,48.66041083316048,0.6975772982561604,0.00387661716261173,5.324777466436652,5.862621659143973,1.418245790195399,4,5,1.802328055683084,4,1.0833904754647712
1961,0.5710110063371325,0.14549645843770154,0.38624300634006375,1.5320539313942907,eneo,0.11207104756914817,0.4095206650095138,0.02658836960693992,0.1873734789965825,2.9480508492003747,1.6862964441115835,2.4565950994848587,0.6128241218800626,1,1,2.5411448414497233,4,0.608857756473446
1961,-0.1994141227533286,-0.5627960104457456,1.3215326500451976,0.8951877237205756,escuela nacional de musica,0.11522889088878532,0.05280008091230628,0.42055692025441127,2.318881512440474,1.064022958834336,1.7042050779065985,2.495796606401211,0.6198904883763533,2,5,1.7645756299037698,3,0.3424544098089968
1961,-0.6228908669387105,-0.6035628566755714,-0.7571050744745791,-1.0752926548409396,facultad de arquitectura,0.33385616961524467,4.324568085219874,4.060353294118606,6.388974088270022,12.887603648550336,1.5753550524958078,2.9530660437401752,0.6220757043849409,3,5,2.3804724770664443,3,1.2738087017422393
