colus,infdist,infdistw,infudist,infwdist,infvar,infdisp,infdiswp,infudisp,infwdisp,infvarp
admin_conf,0.004025525305332067,0.006978039892749144,0.007306105057521162,0.011027616089956616,0.11301704294776016,0.20386888885610746,1.542274907558612,0.24650365928972207,1.67897002327651,0.13282780460037028
admin_espe,0.005641181295729325,0.007429517722774115,0.010293408682916727,0.011734394427469597,0.4564722895338491,0.28569224520160486,1.6420597954739207,0.3472935150708682,1.7865780168904926,0.5364873341068724
admin_serv,0.002981200462183198,0.006696828945338407,0.00653925718572701,0.010887331472942408,0.10122745652010678,0.1509800534299379,1.4801221261775503,0.22063066608369103,1.6576114934934327,0.11897162113027748
admin_obre,0.004133538185135288,0.006986418211484824,0.0074788129188601005,0.011055702902313613,0.17823248660049273,0.2093390981126394,1.5441266697944505,0.252330720285009,1.683246279868335,0.20947486579127092
admin_admin,0.0041175146556022835,0.0070390689078213,0.007731671948189689,0.011148781807219899,0.17683921663984847,0.20852760174541504,1.5557634401588063,0.26086203423730775,1.697417673745511,0.2078373694875182
admin_auxadm,0.0034166705279334852,0.006888953048205082,0.007070134788525362,0.011164612522446271,0.3172209645373272,0.17303401948425978,1.5225850796061164,0.2385421621126229,1.6998279223518542,0.3728266391838042
admin_prof,0.004854195392183902,0.007144124701913279,0.008810364497280787,0.011216287966226202,0.12710715448669418,0.24583609487789193,1.578982699092832,0.29725648223744777,1.7076955811765961,0.14938777231387734
admin_total,3.827078061124922e-7,0.006303596815524948,0.002897087008758348,0.010899869109582405,0.5701948132911525,1.938187174860557e-5,1.3932106071867645,0.09774600054573324,1.659520366264263,0.6701442832740726
admin_conf_f,0.005336977981102997,0.007260764311862011,0.009227403001372814,0.011296831978651944,0.030403084530135516,0.27028615853334614,1.604762193967643,0.31132711447090694,1.719958520085069,0.03573244234574459
admin_espe_f,0.00528584986266778,0.007248195668096702,0.009187366579566092,0.011291694793772011,0.022627825907989063,0.2676968237499119,1.6019842929812325,0.30997630930145975,1.719176376478774,0.02659425835116609
admin_serv_f,0.0053005891458801635,0.007247943698094617,0.009198346722735895,0.011286426103001124,0.015064361673552185,0.2684432806873615,1.601928602985525,0.31034677283155854,1.7183742109160565,0.017704994190378902
admin_obre_f,0.005027463019795064,0.007179389795017033,0.008840923492888564,0.011223315342106521,7.987518915655301e-4,0.25461106858605187,1.5867769320067413,0.2982875246577564,1.7087655090149527,9.387651402813937e-4
admin_admin_f,0.005236697782246447,0.00723811713405309,0.009068097693146537,0.011282024254259504,0.024489584161088374,0.26520756352660874,1.5997567519526137,0.30595224768307877,1.7177040232686185,0.028782364277544895
admin_auxadm_f,0.0052501751007203445,0.007236425176251837,0.009128359180037737,0.01127576725981072,0.016995659026221688,0.2658901094637549,1.599382798220387,0.30798543457485883,1.7167513870841866,0.019974828727672297
admin_prof_f,0.005451221678112406,0.007289642528967244,0.009336930968651735,0.011318559811688611,0.03804792512659105,0.27607192158326954,1.6111448100462227,0.31502252324428964,1.7232666131526675,0.044717347334068736
admin_total_f,0.005186755587675673,0.007223223943174484,0.009006594020109393,0.011262823122188625,0.015236227024402638,0.26267828872595284,1.5964650833839913,0.3038771501661319,1.7147806239684433,0.01790698582495821
docen_emet,0.004960492702679842,0.007162591728671841,0.008755879117765542,0.011208207958158023,0.026038399244924904,0.2512194207634591,1.5830642509934651,0.2954181777889686,1.7064653886106198,0.030602671214906875
docen_tct,2.968955661202255e-4,0.006020228671964223,0.0026572778592313107,0.010042012041422965,0.26653231774336916,0.015035992716543711,1.3305810458583331,0.0896549818121993,1.5289104239207552,0.3132527776121723
docen_mtt,0.005159416006998763,0.007210341376798823,0.00871139781911845,0.011218762703934848,0.24328612943357086,0.26129370174372446,1.5936177997382237,0.2939174051063777,1.7080723634652064,0.28593176409083515
docen_catt,0.006198588602982724,0.00421221210215883,0.00849596441606737,0.007997953920828471,0.23612102038376293,0.31392160652731915,0.9309761953675058,0.28664880962804407,1.2176997069065234,0.27751068280977426
docen_ayut,0.014553431004243667,0.0022994640353743434,0.026240672287926703,0.006037244680382581,0.6388109489493985,0.7370446296658996,0.5082237615575078,0.8853447480251485,0.9191789738472665,0.7507881438983398
docen_tect,0.005026362503054438,0.007178762463310007,0.008893213675854827,0.011228625272544757,0.026010415502270234,0.2545553339655834,1.5866382801839756,0.3000517644742704,1.7095739533748902,0.030569782200963732
docen_totalf,0.012498696195601289,0.0025375332376787463,0.01997280245876043,0.006321045864810637,0.373796812092678,0.6329845454386229,0.5608414253456009,0.6738705306854184,0.9623881023967308,0.4393196691567797
docen_eme_f,0.00502399704640899,0.007178525498057364,0.008836573195125208,0.011222446276816012,0,0.25443553767035054,1.5865859065133272,0.2981407481866785,1.7086331926050293,0
docen_tc_f,0.005018059004916253,0.007177473581553018,0.008848283452064898,0.011224096700449326,0.01137450818710306,0.2541348112236674,1.5863534136565314,0.2985358453231322,1.7088844719190206,0.013368346149351982
docen_mt_f,0.005193334196732069,0.007222273348932884,0.009032542238929686,0.011262431611312906,0.04545770232708435,0.26301145610581494,1.5962549846071683,0.30475262770729705,1.7147210158882602,0.05342598465502872
docen_cat_f,0.005208118646706117,0.007227578853167549,0.009029397443250264,0.011265799613671024,0.022013726975345094,0.2637602004708213,1.5974275984326598,0.3046465241628513,1.7152337989731514,0.02587251399382847
docen_ayu_f,0.005237435578034244,0.0072357067226811456,0.009103323443238498,0.011277656647827095,0.019620226582887312,0.26524492849044634,1.5992240067930874,0.30714074363687766,1.7170390490608054,0.023059456828748996
docen_total_f,0.005192065983197214,0.007223725228305999,0.009010263452767564,0.01126251704430603,0.019632270521967143,0.26294722864118053,1.5965758765998157,0.3040009546516458,1.7147340231813402,0.023073611950357103
inv_tc,0.00481550715509016,0.007123776012671723,0.008547950386351477,0.011178611538642524,0.042204995862974215,0.24387676601771668,1.5744852652430241,0.2884027854887617,1.7019592922106832,0.04960311115411003
inv_ay,0.005573582916473141,0.007290167038935869,0.009083449131787713,0.011249666294065652,0.2147468490256017,0.2822687897710358,1.611260736377371,0.3064701961344928,1.7127774784255012,0.2523898321610011
inv_eme,0.0050994033601012845,0.007195478406551603,0.008835576319068394,0.011225001709902704,0.015705069135421468,0.2582544184918972,1.5903328104838776,0.2981071141786909,1.7090222608781762,0.018458011287017236
inv_mt,0.005080286336454298,0.00719197526924209,0.008860868666251687,0.011227545675761896,0.029558447600578575,0.25728625506637237,1.5895585528337017,0.29896046299911194,1.7094095832498457,0.034739748977459385
