year,dist,distw,udist,wdist
1959,2.1949183799393954,0.14872976602621416,3.3106486080398962,0.20027241010782645
1961,2.1233409678692965,0.1433238405044005,3.064372449034608,0.1949948773227016
1962,1.8597680765918008,0.12483181598222577,2.8702972203506207,0.1818207735184685
1963,1.8950743150038298,0.12716981190775994,2.8835765474407355,0.18419963553005556
1964,1.8324298128109522,0.1225570571685858,2.8177990214563615,0.18178950604035066
1965,1.9675701938574996,0.1317636104960762,2.9417463271025754,0.18884530859059512
1966,2.021694073176801,0.13545502499223785,3.018556707278386,0.19304784846887557
1967,2.00779131362811,0.13438115213573268,2.9710614964810493,0.1921736747100138
1968,1.949739715040842,0.13007686020175327,2.8168754458745786,0.18842710350639424
1969,1.9888037844101143,0.13324690232108066,2.9707737290098697,0.19090884208486983
1970,1.9100943043768552,0.12803974797574108,2.938726126289819,0.18685758724421825
1971,2.047584244670861,0.13847851918389445,3.1412479188318283,0.1899841478262402
1972,2.0072777690226364,0.11920662618136418,3.013270406132015,0.16577877172246627
1973,2.1304843182196946,0.11987820674848626,3.247508977741114,0.16158047079304927
1974,2.0835186116755726,0.10530027869587338,3.1711536575695463,0.1429243962836575
1975,2.048533502655038,0.09387135688799796,3.0419192180065693,0.12752425918242521
1976,1.9352510498583866,0.08837790629378574,2.85277549955318,0.1236610718148328
1977,1.8834192129548075,0.08593610878743348,2.7693048786452077,0.1207113994323941
1978,1.8049935874414427,0.08241924260545683,2.720472156343402,0.11658533157290886
1979,1.799028267841636,0.0821514788871105,2.7157764898244645,0.11591632209147056
