dep,year,emerito,tc,mt,a,b,ayu,contrato,catedra,tecnico,totdocen
Escuela Nacional de Enfermeria y Obstetricia,1990,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1991,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1992,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1993,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1994,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1995,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1996,,,,,,,,,,
Escuela Nacional de Enfermeria y Obstetricia,1997,,,,,,,,,,
FFyL,1931,,,,,,,,,,38
FFyL,1932,,,,,,,,,,38
FFyL,1933,,,,,,,,,,37
FFyL,1934,,,,,,,,,,82
FFyL,1935,,,,,,,,,,87
FFyL,1936,,,,,,,,,,101
FFyL,1937,,,,,,,,,,109
FFyL,1938,,,,,,,,,,123
FFyL,1939,,,,,,,,,,114
FFyL,1940,,,,,,,,,,109
FFyL,1941,,,,,,,,,,116
FFyL,1942,,,,,,,,,,119
FFyL,1943,,,,,,,,,,139
FFyL,1944,,,,,,,,,,151
FFyL,1945,,,,,,,,,,160
FFyL,1946,,,,,,,,,,160
FFyL,1947,,,,,,,,,,160
FFyL,1948,,,,,,,,,,160
FFyL,1949,,,,,,,,,,178
FFyL,1950,,,,,,,,,,183
FFyL,1951,,,,,,,,,,183
FFyL,1952,,,,,,,,,,184
FFyL,1953,,,,,,,,,,185
FFyL,1954,,,,,,,,,,271
FFyL,1955,,,,,,,,,,170
FFyL,1956,,,,,,,,,,184
FFyL,1957,,,,,,,,,,234
FFyL,1958,,,,,,,,,,235
FFyL,1959,,29,1,,,,,134,,164
FFyL,1960,1,29,5,,,,,256,,291
FFyL,1961,,,,,,,,,,258
FFyL,1962,,,,,,,,,,199
FFyL,1963,3,29,9,,,,,215,,256
FFyL,1964,3,28,10,,,,,178,,219
FFyL,1965,1,,10,,,,,216,,227
FFyL,1966,3,28,10,,,,,229,,270
FFyL,1967,4,26,11,,,,,263,,304
FFyL,1968,6,29,16,,,,,238,,289
FFyL,1969,3,23,11,,,,2,251,,290
FFyL,1970,2,38,47,,,,10,446,,543
FFyL,1971,2,25,15,137,116,82,23,,,400
FFyL,1972,2,19,8,157,111,68,5,,,370
FFyL,1973,2,23,40,121,109,31,4,,,330
FFyL,1974,1,28,44,101,91,41,3,,,309
FFyL,1975,1,41,33,105,91,30,4,,4,309
FFyL,1976,1,36,29,101,88,32,6,,18,311
FFyL,1977,2,50,38,130,81,36,4,,19,360
FFyL,1978,3,57,43,120,77,38,3,,27,368
FFyL,1979,6,95,56,124,44,27,2,,29,389
FFyL,1980,,,,,,,,,,
FFyL,1981,,,,,,,,,,
FFyL,1982,,,,,,,,,,
FFyL,1983,,,,,,,,,,
FFyL,1984,,,,,,,,,,
FFyL,1985,,,,,,,,,,
FFyL,1986,,,,,,,,,,
FFyL,1987,,,,,,,,,,
FFyL,1988,,,,,,,,,,
FFyL,1989,,,,,,,,,,
FFyL,1990,,,,,,,,,,
FFyL,1991,,,,,,,,,,
FFyL,1992,,,,,,,,,,
FFyL,1993,,,,,,,,,,
FFyL,1994,,,,,,,,,,
FFyL,1995,,,,,,,,,,
FFyL,1996,,,,,,,,,,
FFyL,1997,,,,,,,,,,
FI,1931,,,,,,,,,,117
FI,1932,,,,,,,,,,127
FI,1933,,,,,,,,,,92
FI,1934,,,,,,,,,,84
FI,1935,,,,,,,,,,118
FI,1936,,,,,,,,,,146
FI,1937,,,,,,,,,,171
FI,1938,,,,,,,,,,211
FI,1939,,,,,,,,,,182
FI,1940,,,,,,,,,,166
FI,1941,,,,,,,,,,175
FI,1942,,,,,,,,,,191
FI,1943,,,,,,,,,,202
FI,1944,,,,,,,,,,207
FI,1945,,,,,,,,,,248
FI,1946,,,,,,,,,,254
FI,1947,,,,,,,,,,309
FI,1948,,,,,,,,,,283
FI,1949,,,,,,,,,,281
FI,1950,,,,,,,,,,289
FI,1951,,,,,,,,,,289
FI,1952,,,,,,,,,,300
FI,1953,,,,,,,,,,459
FI,1954,,,,,,,,,,578
FI,1955,,,,,,,,,,578
FI,1956,,,,,,,,,,711
FI,1957,,,,,,,,,,596
FI,1958,,,,,,,,,,597
FI,1959,,6,12,,13,90,,248,,369
FI,1960,1,6,20,,,124,,315,,466
FI,1961,,,,,,,,,,
FI,1962,,,,,,,,,,
FI,1963,,8,25,441,,,,,,474
FI,1964,,8,24,429,,,,,,461
FI,1965,,9,29,152,,,,293,,483
FI,1966,,7,27,83,,131,,243,,491
FI,1967,2,8,36,142,,79,,208,,475
FI,1968,1,13,67,216,,131,,187,,615
FI,1969,,12,36,272,,113,31,196,,660
FI,1970,,,36,,,,,585,,621
FI,1971,,18,37,365,177,102,12,,,711
FI,1972,,9,27,,1,142,2,621,,802
FI,1973,,19,,617,1,174,2,42,,855
FI,1974,,74,,664,,176,3,,2,919
FI,1975,,20,51,691,,171,2,,4,939
FI,1976,,16,23,692,,182,8,30,3,954
FI,1977,,23,24,781,,139,4,,8,979
FI,1978,,26,22,721,,126,6,,13,914
FI,1979,,66,48,548,128,129,1,,14,934
FI,1980,,,,,,,,,,
FI,1981,,,,,,,,,,
FI,1982,,,,,,,,,,
FI,1983,,,,,,,,,,
FI,1984,,,,,,,,,,
FI,1985,,,,,,,,,,
FI,1986,,,,,,,,,,
FI,1987,,,,,,,,,,
FI,1988,,,,,,,,,,
FI,1989,,,,,,,,,,
FI,1990,,,,,,,,,,
FI,1991,,,,,,,,,,
FI,1992,,,,,,,,,,
FI,1993,,,,,,,,,,
FI,1994,,,,,,,,,,
FI,1995,,,,,,,,,,
FI,1996,,,,,,,,,,
FI,1997,,,,,,,,,,
F Medicina,1931,,,,,,,,,,256
F Medicina,1932,,,,,,,,,,259
F Medicina,1933,,,,,,,,,,260
F Medicina,1934,,,,,,,,,,268
F Medicina,1935,,,,,,,,,,274
F Medicina,1936,,,,,,,,,,302
F Medicina,1937,,,,,,,,,,351
F Medicina,1938,,,,,,,,,,348
F Medicina,1939,,,,,,,,,,363
F Medicina,1940,,,,,,,,,,393
F Medicina,1941,,,,,,,,,,405
F Medicina,1942,,,,,,,,,,373
F Medicina,1943,,,,,,,,,,391
F Medicina,1944,,,,,,,,,,421
F Medicina,1945,,,,,,,,,,422
F Medicina,1946,,,,,,,,,,518
F Medicina,1947,,,,,,,,,,623
F Medicina,1948,,,,,,,,,,458
F Medicina,1949,,,,,,,,,,579
F Medicina,1950,,,,,,,,,,476
F Medicina,1951,,,,,,,,,,496
F Medicina,1952,,,,,,,,,,498
F Medicina,1953,,,,,,,,,,506
F Medicina,1954,,,,,,,,,,522
F Medicina,1955,,,,,,,,,,519
F Medicina,1956,,,,,,,,,,514
F Medicina,1957,,,,,,,,,,761
F Medicina,1958,,,,,,,,,,761
F Medicina,1959,,50,26,,,564,15,351,,1006
F Medicina,1960,,6,28,,,63,,887,,984
F Medicina,1961,,,,,,,,,,1231
F Medicina,1962,,,,,,,,,,1195
F Medicina,1963,,23,28,,,,,1146,,1197
F Medicina,1964,,20,26,,,,,1170,,1216
F Medicina,1965,1,24,24,,,8,,1266,,1323
F Medicina,1966,2,26,24,,,2,,1337,,1391
F Medicina,1967,4,36,24,,,2,,1602,,1668
F Medicina,1968,4,50,30,,,2,,1793,,1879
F Medicina,1969,3,29,27,,,2,11,1943,,2015
F Medicina,1970,,,29,,,,,2183,,2212
F Medicina,1971,3,48,26,929,296,1211,20,,,2533
F Medicina,1972,1,57,14,1057,298,1345,3,,,2775
F Medicina,1973,2,65,27,1153,246,1406,18,,,2917
F Medicina,1974,1,64,20,1418,291,1744,23,,9,3570
F Medicina,1975,1,57,15,1459,279,1664,18,,15,3508
F Medicina,1976,1,56,19,1547,326,1875,17,,12,3853
F Medicina,1977,4,106,21,1764,366,1927,4,,12,4204
F Medicina,1978,2,133,30,1963,340,2015,3,,11,4497
F Medicina,1979,1,80,19,2268,329,1950,5,,11,4663
F Medicina,1980,,,,,,,,,,
F Medicina,1981,,,,,,,,,,
F Medicina,1982,,,,,,,,,,
F Medicina,1983,,,,,,,,,,
F Medicina,1984,,,,,,,,,,
F Medicina,1985,,,,,,,,,,
F Medicina,1986,,,,,,,,,,
F Medicina,1987,,,,,,,,,,
F Medicina,1988,,,,,,,,,,
F Medicina,1989,,,,,,,,,,
F Medicina,1990,,,,,,,,,,
F Medicina,1991,,,,,,,,,,
F Medicina,1992,,,,,,,,,,
F Medicina,1993,,,,,,,,,,
F Medicina,1994,,,,,,,,,,
F Medicina,1995,,,,,,,,,,
F Medicina,1996,,,,,,,,,,
F Medicina,1997,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1931,,,,,,,,,,53
F Medicina Veterinaria y Zootecnia,1932,,,,,,,,,,47
F Medicina Veterinaria y Zootecnia,1933,,,,,,,,,,44
F Medicina Veterinaria y Zootecnia,1934,,,,,,,,,,46
F Medicina Veterinaria y Zootecnia,1935,,,,,,,,,,53
F Medicina Veterinaria y Zootecnia,1936,,,,,,,,,,53
F Medicina Veterinaria y Zootecnia,1937,,,,,,,,,,55
F Medicina Veterinaria y Zootecnia,1938,,,,,,,,,,55
F Medicina Veterinaria y Zootecnia,1939,,,,,,,,,,54
F Medicina Veterinaria y Zootecnia,1940,,,,,,,,,,54
F Medicina Veterinaria y Zootecnia,1941,,,,,,,,,,53
F Medicina Veterinaria y Zootecnia,1942,,,,,,,,,,64
F Medicina Veterinaria y Zootecnia,1943,,,,,,,,,,64
F Medicina Veterinaria y Zootecnia,1944,,,,,,,,,,65
F Medicina Veterinaria y Zootecnia,1945,,,,,,,,,,68
F Medicina Veterinaria y Zootecnia,1946,,,,,,,,,,73
F Medicina Veterinaria y Zootecnia,1947,,,,,,,,,,72
F Medicina Veterinaria y Zootecnia,1948,,,,,,,,,,82
F Medicina Veterinaria y Zootecnia,1949,,,,,,,,,,57
F Medicina Veterinaria y Zootecnia,1950,,,,,,,,,,57
F Medicina Veterinaria y Zootecnia,1951,,,,,,,,,,56
F Medicina Veterinaria y Zootecnia,1952,,,,,,,,,,56
F Medicina Veterinaria y Zootecnia,1953,,,,,,,,,,59
F Medicina Veterinaria y Zootecnia,1954,,,,,,,,,,62
F Medicina Veterinaria y Zootecnia,1955,,,,,,,,,,110
F Medicina Veterinaria y Zootecnia,1956,,,,,,,,,,47
F Medicina Veterinaria y Zootecnia,1957,,,,,,,,,,112
F Medicina Veterinaria y Zootecnia,1958,,,,,,,,,,112
F Medicina Veterinaria y Zootecnia,1959,,6,4,,,,,,,58
F Medicina Veterinaria y Zootecnia,1960,,7,3,,,8,,48,,152
F Medicina Veterinaria y Zootecnia,1961,,,,,,,,134,,79
F Medicina Veterinaria y Zootecnia,1962,,,,,,,,,,113
F Medicina Veterinaria y Zootecnia,1963,,,,,,,,,,124
F Medicina Veterinaria y Zootecnia,1964,,,,,,,,,,124
F Medicina Veterinaria y Zootecnia,1965,,24,3,,,,,97,,124
F Medicina Veterinaria y Zootecnia,1966,,23,2,,,,,127,,152
F Medicina Veterinaria y Zootecnia,1967,,21,,,,,,120,,141
F Medicina Veterinaria y Zootecnia,1968,,22,2,,,,,126,,150
F Medicina Veterinaria y Zootecnia,1969,,23,2,,,,,101,,126
F Medicina Veterinaria y Zootecnia,1970,,21,3,,,1,,107,,132
F Medicina Veterinaria y Zootecnia,1971,,29,4,28,39,45,,,,145
F Medicina Veterinaria y Zootecnia,1972,,10,2,45,38,44,2,,,141
F Medicina Veterinaria y Zootecnia,1973,,36,3,27,36,51,,,,153
F Medicina Veterinaria y Zootecnia,1974,,43,1,25,49,71,2,,,191
F Medicina Veterinaria y Zootecnia,1975,,43,3,37,45,79,2,,,209
F Medicina Veterinaria y Zootecnia,1976,,42,4,41,47,95,1,,2,232
F Medicina Veterinaria y Zootecnia,1977,,51,4,56,42,108,1,,5,267
F Medicina Veterinaria y Zootecnia,1978,,46,4,71,37,103,1,,6,268
F Medicina Veterinaria y Zootecnia,1979,,60,4,71,36,90,,,7,268
F Medicina Veterinaria y Zootecnia,1980,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1981,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1982,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1983,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1984,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1985,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1986,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1987,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1988,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1989,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1990,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1991,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1992,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1993,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1994,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1995,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1996,,,,,,,,,,
F Medicina Veterinaria y Zootecnia,1997,,,,,,,,,,
Escuela nacional de musica,1931,,,,,,,,,,34
Escuela nacional de musica,1932,,,,,,,,,,33
Escuela nacional de musica,1933,,,,,,,,,,34
Escuela nacional de musica,1934,,,,,,,,,,28
Escuela nacional de musica,1935,,,,,,,,,,29
Escuela nacional de musica,1936,,,,,,,,,,38
Escuela nacional de musica,1937,,,,,,,,,,57
Escuela nacional de musica,1938,,,,,,,,,,61
Escuela nacional de musica,1939,,,,,,,,,,60
Escuela nacional de musica,1940,,,,,,,,,,50
Escuela nacional de musica,1941,,,,,,,,,,64
Escuela nacional de musica,1942,,,,,,,,,,64
Escuela nacional de musica,1943,,,,,,,,,,68
Escuela nacional de musica,1944,,,,,,,,,,75
Escuela nacional de musica,1945,,,,,,,,,,76
Escuela nacional de musica,1946,,,,,,,,,,80
Escuela nacional de musica,1947,,,,,,,,,,84
Escuela nacional de musica,1948,,,,,,,,,,88
Escuela nacional de musica,1949,,,,,,,,,,89
Escuela nacional de musica,1950,,,,,,,,,,88
Escuela nacional de musica,1951,,,,,,,,,,88
Escuela nacional de musica,1952,,,,,,,,,,94
Escuela nacional de musica,1953,,,,,,,,,,94
Escuela nacional de musica,1954,,,,,,,,,,94
Escuela nacional de musica,1955,,,,,,,,,,103
Escuela nacional de musica,1956,,,,,,,,,,109
Escuela nacional de musica,1957,,,,,,,,,,118
Escuela nacional de musica,1958,,,,,,,,,,118
Escuela nacional de musica,1959,,1,,,,9,,71,,81
Escuela nacional de musica,1960,,,,,,26,,94,,120
Escuela nacional de musica,1961,,,,,,,,,,104
Escuela nacional de musica,1962,,,,,,,,,,106
Escuela nacional de musica,1963,,,,,,,,,,99
Escuela nacional de musica,1964,,,,,,,,,,101
Escuela nacional de musica,1965,,,,,,,,95,,95
Escuela nacional de musica,1966,,,,,,,,95,,95
Escuela nacional de musica,1967,1,,,,,,,116,,117
Escuela nacional de musica,1968,,1,,,,,,111,,112
Escuela nacional de musica,1969,1,2,,,,,1,95,,99
Escuela nacional de musica,1970,,,,,,,2,98,,100
Escuela nacional de musica,1971,,,,43,36,19,2,,,100
Escuela nacional de musica,1972,,,,34,42,20,,,,96
Escuela nacional de musica,1973,,,,42,42,18,,,,102
Escuela nacional de musica,1974,,1,,44,40,21,,,,106
Escuela nacional de musica,1975,,1,,43,39,23,,,,106
Escuela nacional de musica,1976,,1,,51,34,25,,,,111
Escuela nacional de musica,1977,,,,52,40,26,,,,118
Escuela nacional de musica,1978,,1,,50,38,32,,,,121
Escuela nacional de musica,1979,,1,,48,38,24,,,,111
Escuela nacional de musica,1980,,,,,,,,,,
Escuela nacional de musica,1981,,,,,,,,,,
Escuela nacional de musica,1982,,,,,,,,,,
Escuela nacional de musica,1983,,,,,,,,,,
Escuela nacional de musica,1984,,,,,,,,,,
Escuela nacional de musica,1985,,,,,,,,,,
Escuela nacional de musica,1986,,,,,,,,,,
Escuela nacional de musica,1987,,,,,,,,,,
Escuela nacional de musica,1988,,,,,,,,,,
Escuela nacional de musica,1989,,,,,,,,,,
Escuela nacional de musica,1990,,,,,,,,,,
Escuela nacional de musica,1991,,,,,,,,,,
Escuela nacional de musica,1992,,,,,,,,,,
Escuela nacional de musica,1993,,,,,,,,,,
Escuela nacional de musica,1994,,,,,,,,,,
Escuela nacional de musica,1995,,,,,,,,,,
Escuela nacional de musica,1996,,,,,,,,,,
Escuela nacional de musica,1997,,,,,,,,,,
Escuela nacional de odontologia,1931,,,,,,,,,,51
Escuela nacional de odontologia,1932,,,,,,,,,,51
Escuela nacional de odontologia,1933,,,,,,,,,,50
Escuela nacional de odontologia,1934,,,,,,,,,,48
Escuela nacional de odontologia,1935,,,,,,,,,,46
Escuela nacional de odontologia,1936,,,,,,,,,,54
Escuela nacional de odontologia,1937,,,,,,,,,,73
Escuela nacional de odontologia,1938,,,,,,,,,,79
Escuela nacional de odontologia,1939,,,,,,,,,,80
Escuela nacional de odontologia,1940,,,,,,,,,,79
Escuela nacional de odontologia,1941,,,,,,,,,,82
Escuela nacional de odontologia,1942,,,,,,,,,,90
Escuela nacional de odontologia,1943,,,,,,,,,,90
Escuela nacional de odontologia,1944,,,,,,,,,,80
Escuela nacional de odontologia,1945,,,,,,,,,,102
Escuela nacional de odontologia,1946,,,,,,,,,,106
Escuela nacional de odontologia,1947,,,,,,,,,,108
Escuela nacional de odontologia,1948,,,,,,,,,,106
Escuela nacional de odontologia,1949,,,,,,,,,,106
Escuela nacional de odontologia,1950,,,,,,,,,,105
Escuela nacional de odontologia,1951,,,,,,,,,,105
Escuela nacional de odontologia,1952,,,,,,,,,,105
Escuela nacional de odontologia,1953,,,,,,,,,,105
Escuela nacional de odontologia,1954,,,,,,,,,,123
Escuela nacional de odontologia,1955,,,,,,,,,,118
Escuela nacional de odontologia,1956,,,,,,,,,,122
Escuela nacional de odontologia,1957,,,,,,,,,,132
Escuela nacional de odontologia,1958,,,,,,,,,,132
Escuela nacional de odontologia,1959,,,,,,,,,,106
Escuela nacional de odontologia,1960,,,3,2,,61,,100,,166
Escuela nacional de odontologia,1961,,,,,,,,,,181
Escuela nacional de odontologia,1962,,,,,,,,,,217
Escuela nacional de odontologia,1963,,,,,,,,,,213
Escuela nacional de odontologia,1964,,,,,,,,,,209
Escuela nacional de odontologia,1965,,7,1,,,,,207,,215
Escuela nacional de odontologia,1966,,5,98,,,,,136,,239
Escuela nacional de odontologia,1967,,4,1,,,,,210,,215
Escuela nacional de odontologia,1968,,4,1,,,,,233,,238
Escuela nacional de odontologia,1969,,3,1,,,,,226,,230
Escuela nacional de odontologia,1970,,3,3,,,,,237,,243
Escuela nacional de odontologia,1971,,5,2,67,89,76,,,,239
Escuela nacional de odontologia,1972,,4,,54,96,113,,,,267
Escuela nacional de odontologia,1973,,5,,88,109,105,,,,307
Escuela nacional de odontologia,1974,,3,13,97,115,130,,,,358
Escuela nacional de odontologia,1975,,19,,134,115,168,,,,436
Escuela nacional de odontologia,1976,,,15,144,114,178,1,,,452
Escuela nacional de odontologia,1977,,3,25,185,118,188,,,,519
Escuela nacional de odontologia,1978,,4,35,184,111,214,,,,548
Escuela nacional de odontologia,1979,,10,57,178,96,238,,,,579
Escuela nacional de odontologia,1980,,,,,,,,,,
Escuela nacional de odontologia,1981,,,,,,,,,,
Escuela nacional de odontologia,1982,,,,,,,,,,
Escuela nacional de odontologia,1983,,,,,,,,,,
Escuela nacional de odontologia,1984,,,,,,,,,,
Escuela nacional de odontologia,1985,,,,,,,,,,
Escuela nacional de odontologia,1986,,,,,,,,,,
Escuela nacional de odontologia,1987,,,,,,,,,,
Escuela nacional de odontologia,1988,,,,,,,,,,
Escuela nacional de odontologia,1989,,,,,,,,,,
Escuela nacional de odontologia,1990,,,,,,,,,,
Escuela nacional de odontologia,1991,,,,,,,,,,
Escuela nacional de odontologia,1992,,,,,,,,,,
Escuela nacional de odontologia,1993,,,,,,,,,,
Escuela nacional de odontologia,1994,,,,,,,,,,
Escuela nacional de odontologia,1995,,,,,,,,,,
Escuela nacional de odontologia,1996,,,,,,,,,,
Escuela nacional de odontologia,1997,,,,,,,,,,
F piscologia,1931,,,,,,,,,,
F piscologia,1932,,,,,,,,,,
F piscologia,1933,,,,,,,,,,
F piscologia,1934,,,,,,,,,,
F piscologia,1935,,,,,,,,,,
F piscologia,1936,,,,,,,,,,
F piscologia,1937,,,,,,,,,,
F piscologia,1938,,,,,,,,,,
F piscologia,1939,,,,,,,,,,
F piscologia,1940,,,,,,,,,,
F piscologia,1941,,,,,,,,,,
F piscologia,1942,,,,,,,,,,
F piscologia,1943,,,,,,,,,,
F piscologia,1944,,,,,,,,,,
F piscologia,1945,,,,,,,,,,
F piscologia,1946,,,,,,,,,,
F piscologia,1947,,,,,,,,,,
F piscologia,1948,,,,,,,,,,
F piscologia,1949,,,,,,,,,,
F piscologia,1950,,,,,,,,,,
F piscologia,1951,,,,,,,,,,
F piscologia,1952,,,,,,,,,,
F piscologia,1953,,,,,,,,,,
F piscologia,1954,,,,,,,,,,
F piscologia,1955,,,,,,,,,,
F piscologia,1956,,,,,,,,,,
F piscologia,1957,,,,,,,,,,
F piscologia,1958,,,,,,,,,,
F piscologia,1959,,,,,,,,,,
F piscologia,1960,,,,,,,,,,
F piscologia,1961,,,,,,,,,,
F piscologia,1962,,,,,,,,,,
F piscologia,1963,,,,,,,,,,
F piscologia,1964,,,,,,,,,,
F piscologia,1965,,,,,,,,,,
F piscologia,1966,,,,,,,,,,
F piscologia,1967,,,,,,,,,,
F piscologia,1968,,,,,,,,,,
F piscologia,1969,,,,,,,,,,
F piscologia,1970,,,,,,,,,,
F piscologia,1971,,,,,,,,,,
F piscologia,1972,,,,,,,,,,
F piscologia,1973,,11,15,20,,54,,,,100
F piscologia,1974,,35,24,71,27,79,4,,1,241
F piscologia,1975,,43,28,65,25,78,4,,1,244
F piscologia,1976,,39,30,62,20,75,5,,15,246
F piscologia,1977,,60,31,64,20,89,4,,19,287
F piscologia,1978,,69,29,65,19,85,3,,20,290
F piscologia,1979,,87,29,78,18,88,,,24,324
F piscologia,1980,,,,,,,,,,
F piscologia,1981,,,,,,,,,,
F piscologia,1982,,,,,,,,,,
F piscologia,1983,,,,,,,,,,
F piscologia,1984,,,,,,,,,,
F piscologia,1985,,,,,,,,,,
F piscologia,1986,,,,,,,,,,
F piscologia,1987,,,,,,,,,,
F piscologia,1988,,,,,,,,,,
F piscologia,1989,,,,,,,,,,
F piscologia,1990,,,,,,,,,,
F piscologia,1991,,,,,,,,,,
F piscologia,1992,,,,,,,,,,
F piscologia,1993,,,,,,,,,,
F piscologia,1994,,,,,,,,,,
F piscologia,1995,,,,,,,,,,
F piscologia,1996,,,,,,,,,,
F piscologia,1997,,,,,,,,,,
F Quimica,1931,,,,,,,,,,84
F Quimica,1932,,,,,,,,,,78
F Quimica,1933,,,,,,,,,,78
F Quimica,1934,,,,,,,,,,61
F Quimica,1935,,,,,,,,,,59
F Quimica,1936,,,,,,,,,,66
F Quimica,1937,,,,,,,,,,109
F Quimica,1938,,,,,,,,,,103
F Quimica,1939,,,,,,,,,,112
F Quimica,1940,,,,,,,,,,111
F Quimica,1941,,,,,,,,,,123
F Quimica,1942,,,,,,,,,,131
F Quimica,1943,,,,,,,,,,131
F Quimica,1944,,,,,,,,,,134
F Quimica,1945,,,,,,,,,,158
F Quimica,1946,,,,,,,,,,158
F Quimica,1947,,,,,,,,,,158
F Quimica,1948,,,,,,,,,,161
F Quimica,1949,,,,,,,,,,232
F Quimica,1950,,,,,,,,,,183
F Quimica,1951,,,,,,,,,,176
F Quimica,1952,,,,,,,,,,185
F Quimica,1953,,,,,,,,,,195
F Quimica,1954,,,,,,,,,,205
F Quimica,1955,,,,,,,,,,217
F Quimica,1956,,,,,,,,,,237
F Quimica,1957,,,,,,,,,,310
F Quimica,1958,,,,,,,,,,318
F Quimica,1959,,2,1,,,125,,97,,225
F Quimica,1960,,,,,,134,,118,,252
F Quimica,1961,,,,,,,,,,257
F Quimica,1962,,,,,,,,,,271
F Quimica,1963,,,,,,,,,,275
F Quimica,1964,,,,,,,,,,273
F Quimica,1965,,4,2,,,,,292,,298
F Quimica,1966,,5,3,,,,,299,,307
F Quimica,1967,,3,2,,,,,315,,320
F Quimica,1968,1,8,6,,,,,309,,324
F Quimica,1969,1,3,2,,,,,342,,348
F Quimica,1970,1,15,10,,,,1,334,,361
F Quimica,1971,1,36,19,101,66,238,2,,,463
F Quimica,1972,1,32,9,159,57,279,,,,537
F Quimica,1973,1,45,20,169,37,369,2,,,643
F Quimica,1974,2,57,19,183,57,382,7,,10,717
F Quimica,1975,1,68,17,202,57,400,7,,9,761
F Quimica,1976,,72,13,298,65,277,7,,14,746
F Quimica,1977,,71,12,309,66,255,7,,33,753
F Quimica,1978,,84,11,368,73,234,4,,41,755
F Quimica,1979,,101,17,352,62,131,2,,54,719
F Quimica,1980,,,,,,,,,,
F Quimica,1981,,,,,,,,,,
F Quimica,1982,,,,,,,,,,
F Quimica,1983,,,,,,,,,,
F Quimica,1984,,,,,,,,,,
F Quimica,1985,,,,,,,,,,
F Quimica,1986,,,,,,,,,,
F Quimica,1987,,,,,,,,,,
F Quimica,1988,,,,,,,,,,
F Quimica,1989,,,,,,,,,,
F Quimica,1990,,,,,,,,,,
F Quimica,1991,,,,,,,,,,
F Quimica,1992,,,,,,,,,,
F Quimica,1993,,,,,,,,,,
F Quimica,1994,,,,,,,,,,
F Quimica,1995,,,,,,,,,,
F Quimica,1996,,,,,,,,,,
F Quimica,1997,,,,,,,,,,
EN Trabajo Social,1931,,,,,,,,,,
EN Trabajo Social,1932,,,,,,,,,,
EN Trabajo Social,1933,,,,,,,,,,
EN Trabajo Social,1934,,,,,,,,,,
EN Trabajo Social,1935,,,,,,,,,,
EN Trabajo Social,1936,,,,,,,,,,
EN Trabajo Social,1937,,,,,,,,,,
EN Trabajo Social,1938,,,,,,,,,,
EN Trabajo Social,1939,,,,,,,,,,
EN Trabajo Social,1940,,,,,,,,,,
EN Trabajo Social,1941,,,,,,,,,,
EN Trabajo Social,1942,,,,,,,,,,
EN Trabajo Social,1943,,,,,,,,,,
EN Trabajo Social,1944,,,,,,,,,,
EN Trabajo Social,1945,,,,,,,,,,
EN Trabajo Social,1946,,,,,,,,,,
EN Trabajo Social,1947,,,,,,,,,,
EN Trabajo Social,1948,,,,,,,,,,
EN Trabajo Social,1949,,,,,,,,,,
EN Trabajo Social,1950,,,,,,,,,,
EN Trabajo Social,1951,,,,,,,,,,
EN Trabajo Social,1952,,,,,,,,,,
EN Trabajo Social,1953,,,,,,,,,,
EN Trabajo Social,1954,,,,,,,,,,
EN Trabajo Social,1955,,,,,,,,,,
EN Trabajo Social,1956,,,,,,,,,,
EN Trabajo Social,1957,,,,,,,,,,
EN Trabajo Social,1958,,,,,,,,,,
EN Trabajo Social,1959,,,,,,,,,,
EN Trabajo Social,1960,,,,,,,,,,
EN Trabajo Social,1961,,,,,,,,,,
EN Trabajo Social,1962,,,,,,,,,,
EN Trabajo Social,1963,,,,,,,,,,
EN Trabajo Social,1964,,,,,,,,,,
EN Trabajo Social,1965,,,,,,,,,,
EN Trabajo Social,1966,,,,,,,,,,
EN Trabajo Social,1967,,,,,,,,,,
EN Trabajo Social,1968,,,,,,,,,,
EN Trabajo Social,1969,,,,,,,,,,
EN Trabajo Social,1970,,,,,,,,,,
EN Trabajo Social,1971,,,,,,,,,,
EN Trabajo Social,1972,,,,,,,,,,
EN Trabajo Social,1973,,,,,,,,,,
EN Trabajo Social,1974,,,2,14,6,16,,,,38
