dim,eigenvalue,pervariance,pval,year
1,0.04314013566143152,42.978629531353185,0,1959
2,0.023441619637309098,23.35385993946988,0,1959
3,0.01496838078591731,14.912342824580213,0,1959
4,0.007672313742316568,7.643590473780902,0,1959
1,0.1939288985831492,44.25709695830014,0,1961
2,0.14816343925668918,33.81282389971908,0,1961
3,0.03746172803331372,8.54925357648526,0,1961
4,0.021177323143367868,4.832940580392302,0,1961
1,0.1740584308415053,42.08477789473782,0,1962
2,0.14501826848231142,35.06329219591138,0,1962
3,0.036623322516892216,8.85498270000048,0,1962
4,0.02308953935932908,5.582712258931035,0,1962
1,0.17765081177387781,41.616398470885215,0,1963
2,0.14654810727366513,34.330293042610585,0,1963
3,0.03530699471117391,8.271000543357534,0,1963
4,0.025297897781512323,5.926274043099797,0,1963
1,0.1701269442115408,41.531828657933175,0,1964
2,0.14013541011279715,34.21021795628699,0,1964
3,0.03602189797806149,8.793758694085287,0,1964
4,0.026468079501060917,6.4614558724792825,0,1964
1,0.14012641481537166,40.31381051828632,0,1965
2,0.09792440016026564,28.172459263867054,0,1965
3,0.04370507089723595,12.573774538946955,0,1965
4,0.02417152348885342,6.954050877215824,0,1965
1,0.11590953765616638,38.57973402385694,0,1966
2,0.07918415146257367,26.355928632835628,0,1966
3,0.04727103292876273,15.733855162415347,0,1966
4,0.026185374536539924,8.715631218644955,0,1966
1,0.12629972580169635,44.07970158659757,0,1967
2,0.056035091361135436,19.556733713379177,0,1967
3,0.042278194589076355,14.755457221123747,0,1967
4,0.025494920391612972,8.897948714479845,0,1967
1,0.14376249229043447,48.442023536553755,0,1968
2,0.06549915946652823,22.070512092208386,0,1968
3,0.027070996300666825,9.121807914303368,0,1968
4,0.019637418390987847,6.616999112477699,0,1968
1,0.13203419146316855,47.43356767297778,0,1969
2,0.050925229308871243,18.294998317599322,0,1969
3,0.03103897706150497,11.150819364524999,0,1969
4,0.019507272980228803,7.008029835067759,0,1969
1,0.12233091383631828,43.17247046041019,0,1970
2,0.059152314578164895,20.875766179656733,0,1970
3,0.03242243380969229,11.44237807114278,0,1970
4,0.02862961276679879,10.10383289641256,0,1970
1,0.1649837047401085,40.52585109043753,0,1971
2,0.07855048926017706,19.29478693579768,0,1971
3,0.055963177080804255,13.746541723602757,0,1971
4,0.03956522100778521,9.718621953892603,0,1971
1,0.15700534164000154,31.660124649117165,0,1972
2,0.10925968706618172,22.032214162308,0,1972
3,0.07610243478865568,15.34605476694357,0,1972
4,0.04818192966909913,9.715885352846012,0,1972
1,0.13255637520966196,33.54183127576437,0,1973
2,0.07864183654038996,19.89939154779886,0,1973
3,0.05216864180778133,13.20066106692124,0,1973
4,0.045700642945704854,11.56401004820968,0,1973
1,0.1269550609723234,30.140807383025887,0,1974
2,0.09507489133825761,22.572034268198696,0,1974
3,0.06793360912939049,16.12833558521235,0,1974
4,0.045307360327291886,10.756565435039715,0,1974
1,0.11780619520781578,26.52849128897144,0,1975
2,0.10995496367022033,24.760491506910906,0,1975
3,0.08296960883202989,18.683724920129197,0,1975
4,0.04396563981231544,9.900515764197142,0,1975
1,0.1393908060633075,30.610767302782584,0,1976
2,0.0957812950460501,21.0339477718652,0,1976
3,0.06942514587657378,15.24603412096166,0,1976
4,0.057995591394505094,12.736059162741102,0,1976
1,0.15561961634507493,30.64172087708425,0,1977
2,0.10806086481282874,21.2773359496579,0,1977
3,0.09081936992313833,17.882461406707723,0,1977
4,0.061522192111581955,12.113805975779286,0,1977
1,0.17103601206068894,27.97868905452146,0,1978
2,0.12502476188585526,20.452002445419037,0,1978
3,0.11815062671592651,19.327506568083322,0,1978
4,0.08927967891842736,14.60469257468334,0,1978
1,0.1813908587076568,29.278600272463486,0,1979
2,0.13335313706770185,21.52475170524933,0,1979
3,0.12290336028510801,19.838035850140365,0,1979
4,0.08645247058660317,13.954437102872674,0,1979
