year,dist,udist,wdist
1959,0.9874443082275638,1.1989951108190384,0.025637184538902423
1961,1.0763548348629826,1.378665705193599,0.027061488449375348
1962,1.071608202967822,1.3809433611015345,0.026916081506728754
1963,1.0793116102618732,1.3519413606841844,0.027194594246088104
1964,0.9248611560265704,1.252040997821149,0.023453124834556034
1965,0.9117317585773014,1.2403414577250542,0.02357314454583967
1966,0.9908955413916042,1.3262663693956727,0.025321891690710637
1967,1.0892965892487367,1.4880249010577589,0.02702653327943133
1968,1.1253758621001724,1.511371454503071,0.027685040784071822
1969,0.8103876795112437,1.0628297737144223,0.020914966600552837
1970,0.9761978018836195,1.3713514918913416,0.02407681298586825
1971,0.9840544193032865,1.2895494988068241,0.024135821460367166
1972,1.0534635899031526,1.2885132538823216,0.026946889564822166
1973,1.106948659441078,1.357733155153142,0.027106400106636116
1974,0.9111242157431945,1.114563832714088,0.022524102590347917
1975,1.0045041005544295,1.2435597904364577,0.024632234985468685
1976,0.8965105072931673,1.1195911700899697,0.02168446087415369
1977,0.9189666248217184,1.183419608158117,0.02244564242553753
1978,0.8584370409314928,1.1302173631799688,0.02126579729526141
1979,0.8532743752785769,1.0807308532200492,0.02153788813507154
