year,a,b,c,d,clusters,maxangle,maxclus,minclus,minangle
1959,-0.5367998942657561,0.13667953356075482,-0.07185034312472256,-0.5390824326097227,1,2.1634385791723485,3,4,0.6503962594608538
1959,-0.29550395975689303,-0.5994137321378558,0.7841994524552841,-0.214106501760608,2,2.0250424705177865,5,2,0.5293888947170527
1959,0.02181743381541958,0.39769716298147045,0.16004315709675382,0.10140393410696968,3,2.0715390197200634,2,1,0.11194183556576963
1959,-0.02395472240389355,-0.04388561768586883,-0.07431113344119253,0.21991229034810117,4,1.7846355642354135,5,3,1.467150890009227
1959,-0.6693536856821257,0.11488792767872112,-0.2557952378707986,-1.3213504673835343,5,1.9384122089801632,5,4,0.92718301949513
1959,-0.7956766660298525,-0.00250798966508356,-0.4652297480102713,-1.2999491689144398,6,2.058502545521826,5,4,0.8415317656936524
1961,-0.03842181469137194,-0.10464014557943996,0.14141395505546503,0.05012902358031006,1,2.3459006614533746,1,2,0.9714905382126129
1961,0.5548812644515542,0.21987871553742813,0.9334112120935804,0.6536243525195707,2,1.4186563520741284,2,1,1.3385119568807604
1961,0.0099765440392063209,-0.1217163647011922,-0.10902614218869255,0.4403633189881485,3,1.4857765131618348,1,2,1.3329892276593551
1962,-0.06603543728669262,-0.02437709643985035,0.27614238672951213,0.09811365949985952,1,1.7599553433214161,1,2,1.4340551569442197
1962,2.2286211284510897,0.5555643109664108,0.03277780456803803,-0.11399564453357408,2,1.765999858909847,2,1,0.8015029432047981
1963,-0.07130826530248967,-0.00894738882544549,0.2943834174295406,0.1179046191667813,1,1.7115453847316078,1,2,1.440805626635008
1963,2.2506784384593166,0.5306786129845622,0.04000823907077464,-0.11059259042888804,2,1.7721139365618221,2,1,0.7930982625443765
1964,0.00864741067017922,-0.14979375829673602,0.11811566951646156,-0.29259644794611994,1,2.0072854032191585,1,2,1.1804490735705198
1964,2.8648630389162872,0.6995651163221075,-0.06079268782853942,0.0760381021513837,2,1.76536888899613,2,1,0.7819071680511148
1964,-0.08384731406285481,0.1132687976263694,0.3966892544303422,0.24939180184400683,3,1.5807099541913416,2,1,1.4693787139151044
1965,0.016209642312069,-0.11961392461738,0.23904651546740577,0.02480378939133054,1,2.0478391658008905,1,2,1.033702299963888
1965,0.4556780509691347,0.18546495381573969,-0.1284601273058445,-0.06727438564745006,2,1.5409490696295531,2,1,1.0123235932017427
1965,-0.18265380973978093,0.3127825260925648,0.07529716227126193,0.3097938914169468,3,2.388772363291269,2,1,0.9247654327337609
1965,-0.31073012310122994,0.17119342749456987,0.8040791911747145,-0.4315732055308658,4,1.7852250691749365,2,1,1.5395651595527082
1965,2.1881399571768574,1.0485219748581212,-0.1205081515703112,0.04284403659221214,5,1.5793223930867597,2,1,0.9241637004277116
1966,0.687329922550054,0.596794693676532,-0.25591014763008335,0.19825576004806525,1,1.9423769003621625,2,1,0.6275329535344933
1966,-0.3516498644170648,0.04553942662397886,0.5303383426255414,0.24362953596219245,2,1.809947729451767,1,2,1.5545324835656407
1966,0.00653408886279675,0.189680575801984,-0.1687168197370644,0.198163507698167,3,2.190403158100647,2,1,0.7351891161650386
