year,dist,udist,wdist
1959,0.3270881394034147,0.4839606630272847,0.029885421555980108
1961,0.29867441352370905,0.4332253130976252,0.02716213086812746
1962,0.3051715354703656,0.43589379597091504,0.02706425962352155
1963,0.35312381934447945,0.5204526967810075,0.030932252577702282
1964,0.2697888946514233,0.38694740061442917,0.024773060280300598
1965,0.2961061503811336,0.4380577098154695,0.028456588360296756
1966,0.2907900748965797,0.4197254661016306,0.028040607546739975
1967,0.28398757776002403,0.41251954045117173,0.02817186354604461
1968,0.2764240635396887,0.40357983784169305,0.02689885561394185
1969,0.2734522364715635,0.4070249844387968,0.026795074178288972
1970,0.2600675817166522,0.38177257205638254,0.024662998890042948
1971,0.26405227540419757,0.3818786229323693,0.024619779118746847
1972,0.34547982554150614,0.4682392728592473,0.030442383743960476
1973,0.28714815790782966,0.4088575982049622,0.022189673795001585
1974,0.2570922493092441,0.37265963608726604,0.018199731173819286
1975,0.25775058732201106,0.3653578465487811,0.016677829268796806
1976,0.25121233520599495,0.3486654008970153,0.016479522554219833
1977,0.24461647045074095,0.3429961038322955,0.01653078940490823
1978,0.2728193907658817,0.37709252521905817,0.01826627802682131
1979,0.29192242823396863,0.40892403707465436,0.018559716863696438
