year,a,b,c,d,point,w,conta,contb,contc,contd,dist,udist,wdist,clusters,maxclus,maxangle,minclus,minangle
1959,-0.17465141938758494,0.3035303514847168,0.07439777261181528,-0.05052983750758554,enap,0.03055237338401699,1.0685305463799724,4.49420856111427,0.46867061222315987,0.5152033857130246,0.36155509347079623,0.5545566793950067,0.03653411899247928,4,2,1.6319351604241457,1,0.6503962594608538
1959,0.03583739251781045,0.06124164821559431,-0.0662896060675663,-0.03776547877536282,eneo,0.01841498964136465,0.02711702464442573,0.11027301273998295,0.2242669400988546,0.17346003143745303,0.1041892577877572,0.4647347841335802,0.02946639775887975,4,2,1.6319351604241457,1,0.6503962594608538
1959,-0.00203133095537981,-0.2519959033449873,0.1941094701874619,-0.02645589520015837,escuela nacional de musica,0.02796765044171546,1.323168357272737e-4,2.8356130355564404,2.92046720401891,0.12928223696554805,0.319193456097404,0.5655995794940134,0.03623503093079528,2,3,2.0715390197200634,2,0.5293888947170527
1959,0.570453042702999,-0.222570869029644,-0.3359418718099191,-0.01774807488109626,facultad de arquitectura,0.08998909896549125,33.5758839607101,7.11755065238925,28.1462850128736,0.18721056770992195,0.6986604333056636,0.8766723869335291,0.05552348550807644,3,1,2.1634385791723485,4,1.467150890009227
1959,-0.19767729249463584,0.02875228639870428,-0.04858934042981975,-0.16259195259238984,facultad de ciencias,0.04167952518454869,1.867385924679545,0.05501378862074928,0.27271415031938284,7.277107795091059,0.2621069876832241,0.479752260697769,0.03020199492466737,4,2,1.6319351604241457,1,0.6503962594608538
1959,-0.33759359439489,0.0168431512071212,-0.09180864876736836,-0.15785255993366082,facultad de contaduria y administracion,0.06945595276429913,9.0760236391714,0.03146010648148219,1.6224808011747145,11.430117211581466,0.3841866543558579,0.5535149389380504,0.03512787522072392,4,2,1.6319351604241457,1,0.6503962594608538
1959,-0.18336969596335276,-0.00457729532801809,-0.13998881127923646,-0.0739440817124923,facultad de derecho,0.0744616830514237,2.870686243638388,0.00249089107547551,4.044104805365176,2.688918507387229,0.24230144765124648,0.4823791526322369,0.02972299796205635,4,2,1.6319351604241457,1,0.6503962594608538
1959,0.01743834547068705,-0.5329356743065263,0.4859835539190453,0.01052915061728335,facultad de economia,0.06171371608066944,0.02151741037131455,27.985643879871684,40.39501239531996,0.04518625269834813,0.7215368365744149,0.8790690578274334,0.05744909817219133,2,3,2.0715390197200634,2,0.5293888947170527
1959,0.13271997638536523,-0.20865869026332504,0.08459419529871158,0.03730856131002468,facultad de ingenieria,0.10950476545370956,2.2115836003689484,7.612196550759289,2.171786097640088,1.0066719688602157,0.2640097494021737,0.5462339165047111,0.033907318639232,2,3,2.0715390197200634,2,0.5293888947170527
1959,-0.17776856401387364,0.07201725369681952,-0.00771657062000512,-0.02613554028935547,facultad de medicina,0.2451755037751783,8.883513259749993,2.0302719215620666,0.04046025809713474,1.1060582347807564,0.19372857071154168,0.4601258502751585,0.02698031915519222,4,2,1.6319351604241457,1,0.6503962594608538
1959,0.4928045791542005,0.1934396156953201,0.03877992554549271,0.05644264834914331,facultad de quimica,0.07020423667315731,19.54836957185743,4.194287374928439,0.29260393735840756,1.4771208895380443,0.5338210311833741,0.7087156111560406,0.04660555554827425,5,1,2.061676288422954,3,0.857067532674427
1959,-0.23498370503727337,-6.276589594089102e-4,-0.08837227304273793,-0.1599585264181875,fcpys,0.01835340669528742,1.161956668187032,1.1544315129382904e-5,0.3972387824020528,3.1014831761133532,0.2976812463112714,0.49755664013327233,0.03151242591041012,4,2,1.6319351604241457,1,0.6503962594608538
1959,-0.43674740670174206,-0.11969815650965242,-0.22614355610928688,0.40533511346234347,ffyl,0.05749687819910339,12.574846290980584,1.315295120613347,8.149211734812031,62.389380376389866,0.6484700518202758,0.8158737189400478,0.05262033955118044,4,2,1.6319351604241457,1,0.6503962594608538
1959,0.12862075078421056,0.7188523857128906,0.3004849323038204,0.20289739140570737,fmvz,0.03066247793702936,0.5816035910838264,25.298263143819703,7.672829535588599,8.3367759065947,0.8153223877450445,0.9176771766418562,0.06376856711549193,1,6,1.9722494961089156,3,0.11194183556576964
